normalized_product,total_lines,n_vat_rates,dominant_vat,dominant_vat_pct,vat_rates
synth utility 00914,41,2,11.00,95.12,11.00:39;5.00:2
synth office 00226,2,1,0.00,100.0,0.00:2
synth retail 01178,5,1,9.00,100.0,9.00:5
synth misc 00822,7,1,11.00,100.0,11.00:7
synth retail 00971,4,2,21.00,75.0,21.00:3;11.00:1
synth maintenance 00939,1,1,11.00,100.0,11.00:1
synth transport 00232,4,1,0.00,100.0,0.00:4
synth retail 00615,1,1,9.00,100.0,9.00:1
synth fuel 00907,1,1,9.00,100.0,9.00:1
synth utility 00473,6,1,19.00,100.0,19.00:6
synth utility 00159,3,1,21.00,100.0,21.00:3
synth packaging 00421,26,2,9.00,96.15,9.00:25;0.00:1
synth raw material 00854,8,1,9.00,100.0,9.00:8
synth service 00192,2,1,0.00,100.0,0.00:2
synth service 00497,15,2,21.00,93.33,9.00:1;21.00:14
synth fuel 00333,3,1,19.00,100.0,19.00:3
synth packaging 00173,2,1,0.00,100.0,0.00:2
synth maintenance 00806,2,1,9.00,100.0,9.00:2
synth misc 00778,1,1,21.00,100.0,21.00:1
synth transport 00193,1,1,19.00,100.0,19.00:1
synth raw material 00405,1,1,21.00,100.0,21.00:1
synth transport 00231,1,1,5.00,100.0,5.00:1
synth service 00055,51,3,0.00,96.08,0.00:49;19.00:1;5.00:1
synth service 00736,1,1,19.00,100.0,19.00:1
synth misc 01081,1,1,0.00,100.0,0.00:1
synth office 00225,1,1,0.00,100.0,0.00:1
synth office 00654,5,1,9.00,100.0,9.00:5
synth utility 00749,23,3,0.00,91.3,0.00:21;11.00:1;21.00:1
synth retail 00164,54,3,21.00,92.59,21.00:50;11.00:2;19.00:2
synth service 00332,11,2,0.00,90.91,0.00:10;9.00:1
synth office 00635,27,1,21.00,100.0,21.00:27
synth utility 00657,1,1,5.00,100.0,5.00:1
synth utility 00878,11,2,21.00,90.91,21.00:10;11.00:1
synth raw material 00761,2,1,0.00,100.0,0.00:2
synth service 00211,4,1,9.00,100.0,9.00:4
synth office 01155,46,5,5.00,89.13,5.00:41;0.00:2;19.00:1;11.00:1;9.00:1
synth raw material 00935,15,1,11.00,100.0,11.00:15
synth maintenance 01110,10,1,9.00,100.0,9.00:10
synth office 01087,35,2,11.00,97.14,11.00:34;19.00:1
synth fuel 00950,1,1,21.00,100.0,21.00:1
synth transport 00366,6,1,9.00,100.0,9.00:6
synth misc 00425,2,2,9.00,50.0,9.00:1;21.00:1
synth misc 00042,2,1,5.00,100.0,5.00:2
synth packaging 00658,6,2,9.00,83.33,9.00:5;11.00:1
synth raw material 00338,2,1,0.00,100.0,0.00:2
synth misc 00840,1,1,0.00,100.0,0.00:1
synth transport 00590,1,1,19.00,100.0,19.00:1
synth transport 00565,10,2,19.00,90.0,19.00:9;9.00:1
synth fuel 00402,3,2,5.00,66.67,5.00:2;9.00:1
synth office 00271,6,1,21.00,100.0,21.00:6
synth misc 00579,9,1,11.00,100.0,11.00:9
synth transport 00334,2,1,19.00,100.0,19.00:2
synth retail 00944,11,3,11.00,81.82,5.00:1;11.00:9;19.00:1
synth maintenance 00867,1,1,19.00,100.0,19.00:1
synth packaging 00858,43,3,19.00,95.35,19.00:41;5.00:1;9.00:1
synth transport 01062,3,1,5.00,100.0,5.00:3
synth misc 00393,42,2,5.00,97.62,5.00:41;19.00:1
synth office 00374,2,1,5.00,100.0,5.00:2
synth transport 00495,2,1,0.00,100.0,0.00:2
synth fuel 00756,8,2,5.00,87.5,5.00:7;9.00:1
synth fuel 00762,2,1,0.00,100.0,0.00:2
synth fuel 00047,59,3,5.00,94.92,5.00:56;19.00:2;11.00:1
synth raw material 00365,3,2,21.00,66.67,5.00:1;21.00:2
synth maintenance 00605,6,1,9.00,100.0,9.00:6
synth utility 00227,4,1,0.00,100.0,0.00:4
synth fuel 00985,8,1,9.00,100.0,9.00:8
synth raw material 00265,2,2,19.00,50.0,19.00:1;0.00:1
synth packaging 00129,3,1,19.00,100.0,19.00:3
synth fuel 00968,2,1,0.00,100.0,0.00:2
synth fuel 00481,23,1,5.00,100.0,5.00:23
synth raw material 01103,9,2,5.00,88.89,5.00:8;11.00:1
synth maintenance 00594,3,1,21.00,100.0,21.00:3
synth packaging 01049,1,1,19.00,100.0,19.00:1
synth fuel 00732,18,3,19.00,88.89,19.00:16;11.00:1;9.00:1
synth service 00980,8,1,9.00,100.0,9.00:8
synth utility 00398,10,1,9.00,100.0,9.00:10
synth raw material 00494,13,2,0.00,92.31,0.00:12;9.00:1
synth office 00604,22,4,21.00,86.36,21.00:19;0.00:1;5.00:1;9.00:1
synth raw material 00216,57,4,0.00,94.74,0.00:54;21.00:1;5.00:1;9.00:1
synth transport 01057,9,1,5.00,100.0,5.00:9
synth fuel 01033,5,1,9.00,100.0,9.00:5
synth office 00014,7,1,19.00,100.0,19.00:7
synth transport 00343,1,1,5.00,100.0,5.00:1
synth transport 00064,1,1,5.00,100.0,5.00:1
synth maintenance 00049,15,3,0.00,86.67,0.00:13;19.00:1;9.00:1
synth misc 00154,2,1,5.00,100.0,5.00:2
synth utility 00080,4,1,11.00,100.0,11.00:4
synth service 00651,2,2,19.00,50.0,19.00:1;11.00:1
synth misc 00125,3,1,21.00,100.0,21.00:3
synth packaging 00194,1,1,5.00,100.0,5.00:1
synth retail 00021,4,1,11.00,100.0,11.00:4
synth utility 00190,1,1,0.00,100.0,0.00:1
synth misc 00643,29,3,0.00,93.1,0.00:27;21.00:1;11.00:1
synth maintenance 00597,4,2,9.00,75.0,9.00:3;0.00:1
synth misc 00346,3,2,19.00,66.67,21.00:1;19.00:2
synth misc 00269,7,1,11.00,100.0,11.00:7
synth transport 00457,28,2,19.00,96.43,19.00:27;9.00:1
synth packaging 00369,16,2,9.00,93.75,19.00:1;9.00:15
synth transport 00740,2,1,9.00,100.0,9.00:2
synth raw material 00286,14,1,11.00,100.0,11.00:14
synth misc 00953,11,1,19.00,100.0,19.00:11
synth office 00616,13,2,19.00,92.31,5.00:1;19.00:12
synth maintenance 00472,1,1,9.00,100.0,9.00:1
synth raw material 01010,12,2,9.00,91.67,9.00:11;11.00:1
synth packaging 00970,11,1,5.00,100.0,5.00:11
synth raw material 00596,3,1,11.00,100.0,11.00:3
synth maintenance 01184,5,3,5.00,60.0,11.00:1;5.00:3;21.00:1
synth retail 00715,3,1,21.00,100.0,21.00:3
synth fuel 00033,1,1,11.00,100.0,11.00:1
synth transport 01132,7,2,11.00,85.71,11.00:6;9.00:1
synth utility 00352,2,1,11.00,100.0,11.00:2
synth packaging 00784,4,1,9.00,100.0,9.00:4
synth misc 00542,6,1,11.00,100.0,11.00:6
synth office 00023,5,1,5.00,100.0,5.00:5
synth misc 01175,2,1,11.00,100.0,11.00:2
synth utility 00655,4,1,21.00,100.0,21.00:4
synth maintenance 01159,6,1,21.00,100.0,21.00:6
synth transport 01080,3,1,19.00,100.0,19.00:3
synth retail 00642,10,1,0.00,100.0,0.00:10
synth retail 00327,2,2,21.00,50.0,21.00:1;5.00:1
synth packaging 00355,3,1,21.00,100.0,21.00:3
synth office 00407,235,4,11.00,97.45,11.00:229;5.00:4;19.00:1;21.00:1
synth fuel 00895,23,4,5.00,82.61,5.00:19;21.00:2;11.00:1;19.00:1
synth retail 00757,31,2,19.00,96.77,19.00:30;0.00:1
synth raw material 00353,28,1,0.00,100.0,0.00:28
synth service 00122,55,2,11.00,96.36,11.00:53;0.00:2
synth raw material 00069,46,3,5.00,95.65,5.00:44;21.00:1;11.00:1
synth utility 00504,17,2,0.00,94.12,0.00:16;11.00:1
synth misc 00163,15,2,0.00,93.33,11.00:1;0.00:14
synth retail 00132,20,1,19.00,100.0,19.00:20
synth utility 00812,23,1,11.00,100.0,11.00:23
synth service 00804,14,3,21.00,85.71,21.00:12;19.00:1;9.00:1
synth utility 00800,13,2,19.00,92.31,19.00:12;5.00:1
synth retail 00620,6,2,21.00,83.33,21.00:5;5.00:1
synth office 01032,68,4,9.00,94.12,21.00:1;9.00:64;19.00:2;5.00:1
synth retail 00744,29,3,19.00,93.1,19.00:27;0.00:1;5.00:1
synth fuel 00273,13,2,5.00,92.31,5.00:12;21.00:1
synth utility 00469,16,2,21.00,93.75,21.00:15;11.00:1
synth utility 00450,19,2,9.00,94.74,9.00:18;19.00:1
synth retail 00447,85,3,21.00,95.29,5.00:2;21.00:81;11.00:2
synth service 00454,27,3,9.00,88.89,19.00:2;9.00:24;0.00:1
synth packaging 00825,14,3,11.00,85.71,11.00:12;0.00:1;19.00:1
synth fuel 00539,4,2,5.00,75.0,5.00:3;21.00:1
synth raw material 00837,10,1,0.00,100.0,0.00:10
synth office 00439,13,1,0.00,100.0,0.00:13
synth office 00561,4,1,11.00,100.0,11.00:4
synth fuel 00470,8,1,21.00,100.0,21.00:8
synth office 01124,4,2,21.00,75.0,21.00:3;9.00:1
synth raw material 00573,11,1,21.00,100.0,21.00:11
synth raw material 00893,6,1,21.00,100.0,21.00:6
synth misc 00315,9,2,5.00,88.89,5.00:8;19.00:1
synth office 00209,6,1,21.00,100.0,21.00:6
synth maintenance 00656,5,1,0.00,100.0,0.00:5
synth raw material 00829,5,1,9.00,100.0,9.00:5
synth maintenance 00345,4,2,21.00,75.0,21.00:3;5.00:1
synth service 00278,7,2,9.00,85.71,9.00:6;5.00:1
synth packaging 00619,24,1,21.00,100.0,21.00:24
synth misc 00912,8,1,19.00,100.0,19.00:8
synth fuel 00738,27,3,5.00,92.59,5.00:25;0.00:1;21.00:1
synth utility 00537,11,1,21.00,100.0,21.00:11
synth fuel 01158,8,2,5.00,87.5,5.00:7;21.00:1
synth fuel 00844,3,1,19.00,100.0,19.00:3
synth office 00811,14,1,11.00,100.0,11.00:14
synth service 00452,43,3,11.00,90.7,11.00:39;21.00:3;9.00:1
synth transport 00955,2,1,21.00,100.0,21.00:2
synth utility 00962,91,4,9.00,96.7,9.00:88;11.00:1;0.00:1;5.00:1
synth office 00177,4,2,5.00,75.0,5.00:3;0.00:1
synth raw material 00503,3,1,21.00,100.0,21.00:3
synth misc 00344,6,3,0.00,66.67,0.00:4;5.00:1;9.00:1
synth utility 00785,3,1,19.00,100.0,19.00:3
synth misc 00116,6,1,0.00,100.0,0.00:6
synth fuel 00570,3,2,9.00,66.67,19.00:1;9.00:2
synth raw material 00357,2,1,19.00,100.0,19.00:2
synth office 01029,3,1,0.00,100.0,0.00:3
synth fuel 00952,1,1,5.00,100.0,5.00:1
synth office 00140,3,1,21.00,100.0,21.00:3
synth raw material 00186,3,1,11.00,100.0,11.00:3
synth office 01013,1,1,5.00,100.0,5.00:1
synth misc 00759,1,1,21.00,100.0,21.00:1
synth misc 00448,1,1,11.00,100.0,11.00:1
synth packaging 00379,4,2,21.00,75.0,21.00:3;0.00:1
synth fuel 00187,2,1,9.00,100.0,9.00:2
synth misc 00404,33,3,11.00,93.94,11.00:31;21.00:1;0.00:1
synth raw material 00707,1,1,0.00,100.0,0.00:1
synth office 01168,1,1,11.00,100.0,11.00:1
synth service 00595,3,1,11.00,100.0,11.00:3
synth misc 00509,1,1,19.00,100.0,19.00:1
synth retail 00391,1,1,9.00,100.0,9.00:1
synth maintenance 00770,1,1,11.00,100.0,11.00:1
synth office 00028,1,1,5.00,100.0,5.00:1
synth transport 00918,1,1,11.00,100.0,11.00:1
synth service 00742,9,1,11.00,100.0,11.00:9
synth office 00479,4,2,9.00,75.0,9.00:3;11.00:1
synth transport 00031,6,1,5.00,100.0,5.00:6
synth retail 00525,5,1,0.00,100.0,0.00:5
synth utility 00794,10,1,0.00,100.0,0.00:10
synth maintenance 00414,5,2,21.00,80.0,21.00:4;0.00:1
synth service 00237,3,1,19.00,100.0,19.00:3
synth raw material 00463,7,2,0.00,85.71,0.00:6;19.00:1
synth retail 00538,7,2,0.00,85.71,0.00:6;21.00:1
synth service 01071,1,1,9.00,100.0,9.00:1
synth packaging 00500,1,1,21.00,100.0,21.00:1
synth utility 00748,4,1,19.00,100.0,19.00:4
synth utility 01023,4,1,19.00,100.0,19.00:4
synth utility 01195,2,1,5.00,100.0,5.00:2
synth service 00713,1,1,9.00,100.0,9.00:1
synth retail 00337,1,1,0.00,100.0,0.00:1
synth packaging 00746,1,1,19.00,100.0,19.00:1
synth maintenance 00098,1,1,21.00,100.0,21.00:1
synth raw material 00307,1,1,11.00,100.0,11.00:1
synth utility 00843,7,1,9.00,100.0,9.00:7
synth maintenance 01181,6,2,9.00,83.33,9.00:5;11.00:1
synth service 00005,10,2,9.00,90.0,9.00:9;19.00:1
synth utility 01074,2,1,5.00,100.0,5.00:2
synth fuel 01077,2,1,0.00,100.0,0.00:2
synth maintenance 00699,6,1,21.00,100.0,21.00:6
synth packaging 00554,17,1,21.00,100.0,21.00:17
synth packaging 00134,1,1,21.00,100.0,21.00:1
synth utility 00982,6,1,9.00,100.0,9.00:6
synth service 00753,41,2,19.00,97.56,19.00:40;9.00:1
synth transport 00130,1,1,0.00,100.0,0.00:1
synth misc 01190,2,1,11.00,100.0,11.00:2
synth raw material 01055,2,1,0.00,100.0,0.00:2
synth maintenance 00741,4,2,21.00,75.0,21.00:3;5.00:1
synth retail 01030,43,5,9.00,88.37,9.00:38;0.00:2;11.00:1;5.00:1;21.00:1
synth packaging 00625,2,2,21.00,50.0,21.00:1;0.00:1
synth raw material 00019,1,1,9.00,100.0,9.00:1
synth service 00017,5,1,11.00,100.0,11.00:5
synth fuel 00849,1,1,5.00,100.0,5.00:1
synth packaging 01165,1,1,5.00,100.0,5.00:1
synth service 01133,1,1,0.00,100.0,0.00:1
synth office 00073,83,2,5.00,98.8,5.00:82;21.00:1
synth transport 00659,7,1,11.00,100.0,11.00:7
synth maintenance 01180,6,1,5.00,100.0,5.00:6
synth misc 00533,2,1,11.00,100.0,11.00:2
synth service 00945,14,1,19.00,100.0,19.00:14
synth transport 00498,3,1,11.00,100.0,11.00:3
synth misc 00889,4,1,9.00,100.0,9.00:4
synth misc 01186,1,1,9.00,100.0,9.00:1
synth packaging 00636,33,2,9.00,96.97,9.00:32;19.00:1
synth service 00288,2,1,9.00,100.0,9.00:2
synth office 00251,7,1,21.00,100.0,21.00:7
synth maintenance 00185,1,1,11.00,100.0,11.00:1
synth maintenance 00074,14,2,19.00,92.86,19.00:13;21.00:1
synth utility 00930,2,2,9.00,50.0,9.00:1;0.00:1
synth raw material 00032,4,1,5.00,100.0,5.00:4
synth misc 00725,4,1,9.00,100.0,9.00:4
synth raw material 00638,2,1,9.00,100.0,9.00:2
synth packaging 00146,2,1,9.00,100.0,9.00:2
synth packaging 01047,12,1,0.00,100.0,0.00:12
synth retail 01147,3,2,0.00,66.67,0.00:2;21.00:1
synth retail 00022,8,1,5.00,100.0,5.00:8
synth transport 00386,3,1,0.00,100.0,0.00:3
synth office 00612,6,2,21.00,83.33,21.00:5;5.00:1
synth maintenance 01171,12,2,0.00,91.67,0.00:11;11.00:1
synth utility 00758,2,1,9.00,100.0,9.00:2
synth fuel 00705,8,1,11.00,100.0,11.00:8
synth office 00847,7,1,5.00,100.0,5.00:7
synth misc 00246,4,1,11.00,100.0,11.00:4
synth maintenance 01075,1,1,19.00,100.0,19.00:1
synth transport 00644,4,1,11.00,100.0,11.00:4
synth retail 00392,10,2,5.00,90.0,5.00:9;0.00:1
synth maintenance 00737,19,1,9.00,100.0,9.00:19
synth fuel 00133,1,1,9.00,100.0,9.00:1
synth misc 00633,2,1,11.00,100.0,11.00:2
synth retail 00731,1,1,0.00,100.0,0.00:1
synth transport 00056,2,1,19.00,100.0,19.00:2
synth retail 00350,1,1,11.00,100.0,11.00:1
synth utility 00777,29,1,21.00,100.0,21.00:29
synth utility 00739,1,1,21.00,100.0,21.00:1
synth office 00772,1,1,9.00,100.0,9.00:1
synth transport 00710,6,2,11.00,83.33,11.00:5;9.00:1
synth utility 00551,22,1,5.00,100.0,5.00:22
synth misc 00412,2,1,9.00,100.0,9.00:2
synth office 00896,3,1,5.00,100.0,5.00:3
synth transport 01122,1,1,5.00,100.0,5.00:1
synth transport 00799,19,2,5.00,94.74,5.00:18;19.00:1
synth office 00622,13,1,11.00,100.0,11.00:13
synth retail 00314,12,2,5.00,91.67,5.00:11;0.00:1
synth raw material 00165,5,1,11.00,100.0,11.00:5
synth maintenance 01157,30,1,9.00,100.0,9.00:30
synth utility 00852,25,3,21.00,92.0,21.00:23;11.00:1;5.00:1
synth maintenance 00810,16,2,11.00,93.75,11.00:15;19.00:1
synth retail 00874,7,1,9.00,100.0,9.00:7
synth packaging 00973,10,1,0.00,100.0,0.00:10
synth transport 00598,9,1,11.00,100.0,11.00:9
synth packaging 00517,7,3,9.00,71.43,21.00:1;9.00:5;0.00:1
synth packaging 00948,12,1,0.00,100.0,0.00:12
synth packaging 00886,1,1,11.00,100.0,11.00:1
synth office 00535,10,1,19.00,100.0,19.00:10
synth fuel 00591,4,1,19.00,100.0,19.00:4
synth packaging 00855,3,2,11.00,66.67,11.00:2;21.00:1
synth raw material 00183,6,1,0.00,100.0,0.00:6
synth fuel 00118,3,1,5.00,100.0,5.00:3
synth office 00317,1,1,11.00,100.0,11.00:1
synth packaging 00384,1,1,0.00,100.0,0.00:1
synth raw material 00157,8,2,21.00,87.5,21.00:7;0.00:1
synth fuel 01127,2,1,5.00,100.0,5.00:2
synth misc 00891,1,1,19.00,100.0,19.00:1
synth retail 00490,1,1,19.00,100.0,19.00:1
synth raw material 00607,1,1,21.00,100.0,21.00:1
synth maintenance 01200,1,1,0.00,100.0,0.00:1
synth office 00037,6,2,21.00,83.33,21.00:5;0.00:1
synth utility 00815,6,2,9.00,83.33,9.00:5;11.00:1
synth fuel 00623,3,1,21.00,100.0,21.00:3
synth raw material 00851,4,1,19.00,100.0,19.00:4
synth fuel 00397,6,1,0.00,100.0,0.00:6
synth utility 01197,18,1,11.00,100.0,11.00:18
synth utility 01116,6,1,11.00,100.0,11.00:6
synth utility 00846,17,2,19.00,94.12,19.00:16;21.00:1
synth retail 00182,7,1,21.00,100.0,21.00:7
synth office 00320,24,2,9.00,95.83,9.00:23;5.00:1
synth maintenance 00966,1,1,19.00,100.0,19.00:1
synth raw material 00864,2,2,11.00,50.0,11.00:1;21.00:1
synth maintenance 00075,1,1,9.00,100.0,9.00:1
synth retail 00694,1,1,0.00,100.0,0.00:1
synth raw material 00114,1,1,5.00,100.0,5.00:1
synth office 00560,7,1,9.00,100.0,9.00:7
synth transport 00603,5,1,5.00,100.0,5.00:5
synth office 00702,7,1,11.00,100.0,11.00:7
synth raw material 00198,3,1,5.00,100.0,5.00:3
synth maintenance 00107,11,2,0.00,90.91,0.00:10;5.00:1
synth fuel 00091,2,1,21.00,100.0,21.00:2
synth raw material 00174,2,1,11.00,100.0,11.00:2
synth service 01003,3,2,0.00,66.67,0.00:2;21.00:1
synth packaging 00809,4,1,19.00,100.0,19.00:4
synth service 00206,2,1,5.00,100.0,5.00:2
synth maintenance 00215,3,1,9.00,100.0,9.00:3
synth transport 01161,3,1,21.00,100.0,21.00:3
synth retail 00885,4,1,0.00,100.0,0.00:4
synth maintenance 00158,2,1,0.00,100.0,0.00:2
synth packaging 00790,10,2,21.00,90.0,21.00:9;5.00:1
synth utility 00145,4,3,9.00,50.0,19.00:1;9.00:2;0.00:1
synth utility 00293,2,1,19.00,100.0,19.00:2
synth packaging 00905,5,1,19.00,100.0,19.00:5
synth utility 00423,2,1,21.00,100.0,21.00:2
synth service 00520,2,1,19.00,100.0,19.00:2
synth office 00147,1,1,21.00,100.0,21.00:1
synth fuel 00564,1,1,11.00,100.0,11.00:1
synth maintenance 01018,1,1,19.00,100.0,19.00:1
synth fuel 00461,1,1,19.00,100.0,19.00:1
synth maintenance 01084,5,2,19.00,80.0,19.00:4;5.00:1
synth packaging 00781,1,1,0.00,100.0,0.00:1
synth raw material 00721,1,1,11.00,100.0,11.00:1
synth transport 00960,6,1,0.00,100.0,0.00:6
synth utility 00943,31,3,21.00,93.55,21.00:29;11.00:1;5.00:1
synth utility 00303,1,1,9.00,100.0,9.00:1
synth service 00233,2,1,11.00,100.0,11.00:2
synth office 00606,2,1,19.00,100.0,19.00:2
synth office 00296,5,1,5.00,100.0,5.00:5
synth misc 00826,8,1,0.00,100.0,0.00:8
synth retail 00322,5,1,9.00,100.0,9.00:5
synth transport 00727,1,1,11.00,100.0,11.00:1
synth transport 00508,2,1,0.00,100.0,0.00:2
synth fuel 00908,8,2,21.00,87.5,21.00:7;19.00:1
synth maintenance 00613,1,1,0.00,100.0,0.00:1
synth misc 00143,3,1,5.00,100.0,5.00:3
synth office 00922,9,1,0.00,100.0,0.00:9
synth retail 00861,1,1,21.00,100.0,21.00:1
synth transport 00832,1,1,5.00,100.0,5.00:1
synth retail 00528,4,1,9.00,100.0,9.00:4
synth packaging 00512,1,1,9.00,100.0,9.00:1
synth maintenance 00323,1,1,9.00,100.0,9.00:1
synth maintenance 00559,1,1,21.00,100.0,21.00:1
synth packaging 00368,1,1,19.00,100.0,19.00:1
synth retail 00138,5,1,0.00,100.0,0.00:5
synth utility 00051,30,2,9.00,96.67,9.00:29;0.00:1
synth fuel 01008,10,1,9.00,100.0,9.00:10
synth retail 01044,7,1,5.00,100.0,5.00:7
synth office 01086,4,1,0.00,100.0,0.00:4
synth service 00248,8,1,11.00,100.0,11.00:8
synth service 00180,7,1,21.00,100.0,21.00:7
synth maintenance 00678,1,1,5.00,100.0,5.00:1
synth raw material 00558,19,1,11.00,100.0,11.00:19
synth office 00377,1,1,9.00,100.0,9.00:1
synth misc 00319,3,1,19.00,100.0,19.00:3
synth office 00313,1,1,21.00,100.0,21.00:1
synth retail 00280,14,2,19.00,92.86,19.00:13;21.00:1
synth misc 00301,1,1,0.00,100.0,0.00:1
synth office 01058,10,2,9.00,90.0,9.00:9;19.00:1
synth packaging 00660,2,1,11.00,100.0,11.00:2
synth service 00913,1,1,11.00,100.0,11.00:1
synth fuel 00888,4,1,19.00,100.0,19.00:4
synth office 01019,1,1,19.00,100.0,19.00:1
synth service 00632,2,1,9.00,100.0,9.00:2
synth retail 00610,1,1,11.00,100.0,11.00:1
synth office 00169,1,1,0.00,100.0,0.00:1
synth packaging 00734,8,2,11.00,87.5,11.00:7;21.00:1
synth utility 00445,1,1,9.00,100.0,9.00:1
synth maintenance 00385,1,1,5.00,100.0,5.00:1
synth transport 00220,1,1,11.00,100.0,11.00:1
synth raw material 00677,1,1,19.00,100.0,19.00:1
synth retail 01000,1,1,19.00,100.0,19.00:1
synth raw material 00321,8,3,19.00,75.0,19.00:6;21.00:1;11.00:1
synth transport 00302,2,1,5.00,100.0,5.00:2
synth raw material 01059,3,1,0.00,100.0,0.00:3
synth transport 00092,3,1,5.00,100.0,5.00:3
synth maintenance 00820,5,1,11.00,100.0,11.00:5
synth office 00796,1,1,5.00,100.0,5.00:1
synth raw material 00618,2,2,11.00,50.0,11.00:1;0.00:1
synth misc 00668,2,1,11.00,100.0,11.00:2
synth utility 01076,2,1,21.00,100.0,21.00:2
synth office 00552,2,1,0.00,100.0,0.00:2
synth packaging 00160,1,1,9.00,100.0,9.00:1
synth maintenance 00360,1,1,9.00,100.0,9.00:1
synth service 00060,2,1,21.00,100.0,21.00:2
synth utility 00801,2,1,5.00,100.0,5.00:2
synth raw material 00513,5,2,19.00,80.0,19.00:4;21.00:1
synth packaging 00254,1,1,21.00,100.0,21.00:1
synth fuel 00007,1,1,5.00,100.0,5.00:1
synth misc 00816,1,1,9.00,100.0,9.00:1
synth service 00802,26,1,21.00,100.0,21.00:26
synth utility 01135,1,1,19.00,100.0,19.00:1
synth packaging 00783,1,1,21.00,100.0,21.00:1
synth raw material 00482,3,1,9.00,100.0,9.00:3
synth maintenance 00276,4,1,19.00,100.0,19.00:4
synth raw material 00767,16,3,9.00,87.5,9.00:14;0.00:1;11.00:1
synth raw material 00349,13,2,0.00,92.31,0.00:12;19.00:1
synth office 00010,30,2,11.00,93.33,19.00:2;11.00:28
synth service 00341,17,1,21.00,100.0,21.00:17
synth misc 00181,7,1,21.00,100.0,21.00:7
