normalized_product,total_occurrences,n_accounts,dominant_account_id,dominant_account_desc,dominant_pct,determinism_score,ambiguity_score,all_accounts
synth service 00211,4,1,613,,100.0,1.0,0.0,613:4
synth office 01155,47,4,601,,40.43,0.4043,0.5957,601:19;601:17;612:7;601:4
synth raw material 00935,15,2,707,,93.33,0.9333,0.0667,707:14;4427:1
synth maintenance 01110,10,4,612,,50.0,0.5,0.5,612:5;612:2;612:2;612:1
synth office 01087,36,4,4426,,77.78,0.7778,0.2222,4426:28;625:4;625:3;4426:1
synth fuel 00950,1,1,602,,100.0,1.0,0.0,602:1
synth transport 00366,6,1,608,,100.0,1.0,0.0,608:6
synth misc 00425,2,1,608,,100.0,1.0,0.0,608:2
synth misc 00042,2,2,607,,50.0,0.5,0.5,607:1;6022:1
synth raw material 00338,2,1,613,,100.0,1.0,0.0,613:2
synth misc 00840,1,1,622,,100.0,1.0,0.0,622:1
synth transport 00590,1,1,625,,100.0,1.0,0.0,625:1
synth transport 00565,10,1,411,,100.0,1.0,0.0,411:10
synth fuel 00402,4,2,601,,75.0,0.75,0.25,601:3;608:1
synth office 00271,6,1,625,,100.0,1.0,0.0,625:6
synth misc 00579,9,1,613,,100.0,1.0,0.0,613:9
synth transport 00334,2,1,635,,100.0,1.0,0.0,635:2
synth retail 00944,11,1,609,,100.0,1.0,0.0,609:11
synth maintenance 00867,1,1,701,,100.0,1.0,0.0,701:1
synth packaging 00858,45,9,4427,,26.67,0.2667,0.7333,4427:12;701:10;411:7;701:7;704:3;411:2;701:2;701:1;411:1
synth transport 01062,3,1,411,,100.0,1.0,0.0,411:3
synth misc 00393,45,8,625,,33.33,0.3333,0.6667,625:15;601:11;628:7;625:6;625:2;625:2;625:1;601:1
synth office 00374,2,1,6022,,100.0,1.0,0.0,6022:2
synth transport 00495,2,1,371,,100.0,1.0,0.0,371:2
synth fuel 00756,8,4,401,,37.5,0.375,0.625,401:3;401:3;401:1;401:1
synth fuel 00047,61,10,628,,26.23,0.2623,0.7377,628:16;628:8;628:8;601:6;609:6;612:5;635:5;628:4;601:2;635:1
synth fuel 00762,2,1,622,,100.0,1.0,0.0,622:2
synth raw material 00365,3,1,605,,100.0,1.0,0.0,605:3
synth maintenance 00605,6,1,608,,100.0,1.0,0.0,608:6
synth utility 00227,4,1,628,,100.0,1.0,0.0,628:4
synth fuel 00985,8,4,6022,,62.5,0.625,0.375,6022:5;6022:1;371:1;6022:1
synth raw material 00265,3,1,607,,100.0,1.0,0.0,607:3
synth packaging 00129,3,1,6022,,100.0,1.0,0.0,6022:3
synth fuel 00968,2,2,613,,50.0,0.5,0.5,613:1;401:1
synth fuel 00481,25,6,704,,64.0,0.64,0.36,704:16;707:3;707:2;411:2;707:1;707:1
synth raw material 01103,10,4,601,,70.0,0.7,0.3,601:7;602:1;401:1;4426:1
synth maintenance 00594,3,1,601,,100.0,1.0,0.0,601:3
synth packaging 01049,1,1,701,,100.0,1.0,0.0,701:1
synth fuel 00732,18,5,371,,55.56,0.5556,0.4444,371:10;605:3;605:2;605:2;605:1
synth service 00980,8,2,605,,87.5,0.875,0.125,605:7;4426:1
synth utility 00398,10,1,605,,100.0,1.0,0.0,605:10
synth raw material 00494,13,3,601,,61.54,0.6154,0.3846,601:8;602:4;602:1
synth office 00604,23,5,6022,,65.22,0.6522,0.3478,6022:15;6022:3;608:2;6022:2;6022:1
synth raw material 00216,60,7,628,,40.0,0.4,0.6,628:24;628:12;628:8;628:7;628:6;628:2;628:1
synth transport 01057,10,2,601,,50.0,0.5,0.5,601:5;612:5
synth fuel 01033,6,3,4426,,66.67,0.6667,0.3333,4426:4;371:1;612:1
synth office 00014,7,1,635,,100.0,1.0,0.0,635:7
synth transport 00343,1,1,635,,100.0,1.0,0.0,635:1
synth transport 00064,1,1,612,,100.0,1.0,0.0,612:1
synth maintenance 00049,15,7,607,,26.67,0.2667,0.7333,607:4;628:3;612:3;628:2;628:1;609:1;628:1
synth misc 00154,3,1,6022,,100.0,1.0,0.0,6022:3
synth utility 00080,4,1,701,,100.0,1.0,0.0,701:4
synth service 00651,2,1,411,,100.0,1.0,0.0,411:2
synth misc 00125,3,1,704,,100.0,1.0,0.0,704:3
synth packaging 00194,1,1,4427,,100.0,1.0,0.0,4427:1
synth retail 00021,4,4,613,,25.0,0.25,0.75,613:1;625:1;625:1;602:1
synth utility 00190,1,1,625,,100.0,1.0,0.0,625:1
synth misc 00643,31,1,704,,100.0,1.0,0.0,704:31
synth maintenance 00597,4,2,4427,,75.0,0.75,0.25,4427:3;4427:1
synth misc 00346,3,1,609,,100.0,1.0,0.0,609:3
synth misc 00269,7,1,704,,100.0,1.0,0.0,704:7
synth transport 00457,31,1,608,,100.0,1.0,0.0,608:31
synth packaging 00369,16,1,628,,100.0,1.0,0.0,628:16
synth transport 00740,4,1,608,,100.0,1.0,0.0,608:4
synth packaging 00970,13,1,704,,100.0,1.0,0.0,704:13
synth raw material 00286,14,4,411,,35.71,0.3571,0.6429,411:5;411:3;411:3;411:3
synth misc 00953,11,6,701,,36.36,0.3636,0.6364,701:4;707:3;411:1;701:1;701:1;707:1
synth office 00616,14,1,605,,100.0,1.0,0.0,605:14
synth maintenance 00472,1,1,401,,100.0,1.0,0.0,401:1
synth raw material 01010,13,1,6022,,100.0,1.0,0.0,6022:13
synth raw material 00596,3,3,609,,33.33,0.3333,0.6667,609:1;401:1;622:1
synth maintenance 01184,5,1,4427,,100.0,1.0,0.0,4427:5
synth retail 00715,4,1,608,,100.0,1.0,0.0,608:4
synth fuel 00033,1,1,4427,,100.0,1.0,0.0,4427:1
synth transport 01132,8,4,612,,37.5,0.375,0.625,612:3;612:2;612:2;628:1
synth utility 00352,2,1,601,,100.0,1.0,0.0,601:2
synth packaging 00784,4,1,608,,100.0,1.0,0.0,608:4
synth misc 00542,6,2,635,,50.0,0.5,0.5,635:3;6022:3
synth office 00023,5,1,401,,100.0,1.0,0.0,401:5
synth misc 01175,2,1,635,,100.0,1.0,0.0,635:2
synth utility 00655,4,1,411,,100.0,1.0,0.0,411:4
synth maintenance 01159,7,5,612,,28.57,0.2857,0.7143,612:2;401:2;612:1;607:1;612:1
synth transport 01080,3,1,625,,100.0,1.0,0.0,625:3
synth retail 00642,10,3,608,,60.0,0.6,0.4,608:6;4426:2;4426:2
synth retail 00327,2,1,605,,100.0,1.0,0.0,605:2
synth packaging 00355,3,1,411,,100.0,1.0,0.0,411:3
synth office 00407,248,3,601,,87.1,0.871,0.129,601:216;625:27;613:5
synth fuel 00895,23,1,411,,100.0,1.0,0.0,411:23
synth retail 00757,32,2,4427,,96.88,0.9688,0.0312,4427:31;704:1
synth raw material 00353,29,2,4427,,96.55,0.9655,0.0345,4427:28;411:1
synth service 00122,58,1,704,,100.0,1.0,0.0,704:58
synth raw material 00069,50,1,411,,100.0,1.0,0.0,411:50
synth utility 00504,18,1,625,,100.0,1.0,0.0,625:18
synth misc 00163,16,1,613,,100.0,1.0,0.0,613:16
synth retail 00132,20,1,411,,100.0,1.0,0.0,411:20
synth utility 00812,24,1,605,,100.0,1.0,0.0,605:24
synth service 00804,15,1,401,,100.0,1.0,0.0,401:15
synth office 01032,69,1,607,,100.0,1.0,0.0,607:69
synth utility 00800,14,1,6022,,100.0,1.0,0.0,6022:14
synth retail 00620,6,2,635,,83.33,0.8333,0.1667,635:5;635:1
synth retail 00744,31,6,601,,32.26,0.3226,0.6774,601:10;609:6;601:5;601:4;601:4;601:2
synth fuel 00273,13,2,4427,,84.62,0.8462,0.1538,4427:11;4427:2
synth utility 00469,19,8,625,,47.37,0.4737,0.5263,625:9;628:2;628:2;622:2;622:1;371:1;628:1;622:1
synth utility 00450,20,1,613,,100.0,1.0,0.0,613:20
synth retail 00447,91,1,609,,100.0,1.0,0.0,609:91
synth service 00454,27,5,701,,77.78,0.7778,0.2222,701:21;701:2;701:2;4427:1;4427:1
synth packaging 00825,14,1,704,,100.0,1.0,0.0,704:14
synth fuel 00539,4,1,612,,100.0,1.0,0.0,612:4
synth raw material 00837,11,1,612,,100.0,1.0,0.0,612:11
synth office 00439,13,1,625,,100.0,1.0,0.0,625:13
synth office 00561,4,1,6022,,100.0,1.0,0.0,6022:4
synth fuel 00470,8,3,613,,75.0,0.75,0.25,613:6;6022:1;601:1
synth office 01124,4,1,625,,100.0,1.0,0.0,625:4
synth raw material 00573,12,1,628,,100.0,1.0,0.0,628:12
synth raw material 00893,7,1,635,,100.0,1.0,0.0,635:7
synth misc 00315,9,1,628,,100.0,1.0,0.0,628:9
synth office 00209,6,2,612,,50.0,0.5,0.5,612:3;609:3
synth maintenance 00656,5,1,609,,100.0,1.0,0.0,609:5
synth raw material 00829,5,1,371,,100.0,1.0,0.0,371:5
synth maintenance 00345,4,1,609,,100.0,1.0,0.0,609:4
synth service 00278,8,2,704,,87.5,0.875,0.125,704:7;704:1
synth packaging 00619,25,1,707,,100.0,1.0,0.0,707:25
synth misc 00912,8,1,701,,100.0,1.0,0.0,701:8
synth fuel 00738,27,5,612,,29.63,0.2963,0.7037,612:8;612:6;612:6;612:6;612:1
synth utility 00537,11,1,612,,100.0,1.0,0.0,612:11
synth fuel 01158,8,1,612,,100.0,1.0,0.0,612:8
synth fuel 00844,3,1,608,,100.0,1.0,0.0,608:3
synth office 00811,14,1,401,,100.0,1.0,0.0,401:14
synth service 00452,43,6,609,,39.53,0.3953,0.6047,609:17;371:13;601:7;601:3;608:2;608:1
synth transport 00955,2,1,4426,,100.0,1.0,0.0,4426:2
synth utility 00962,95,9,628,,51.58,0.5158,0.4842,628:49;628:17;628:8;628:7;628:6;608:5;628:1;628:1;622:1
synth office 00177,4,2,401,,75.0,0.75,0.25,401:3;371:1
synth raw material 00503,3,1,609,,100.0,1.0,0.0,609:3
synth misc 00344,6,1,401,,100.0,1.0,0.0,401:6
synth utility 00785,3,1,612,,100.0,1.0,0.0,612:3
synth misc 00116,6,1,605,,100.0,1.0,0.0,605:6
synth fuel 00570,3,2,371,,66.67,0.6667,0.3333,371:2;4426:1
synth raw material 00357,2,1,371,,100.0,1.0,0.0,371:2
synth office 01029,3,3,601,,33.33,0.3333,0.6667,601:1;601:1;601:1
synth fuel 00952,1,1,605,,100.0,1.0,0.0,605:1
synth office 00140,3,2,6022,,66.67,0.6667,0.3333,6022:2;613:1
synth raw material 00186,3,1,401,,100.0,1.0,0.0,401:3
synth office 01013,1,1,608,,100.0,1.0,0.0,608:1
synth misc 00759,1,1,704,,100.0,1.0,0.0,704:1
synth misc 00448,1,1,6022,,100.0,1.0,0.0,6022:1
synth packaging 00379,5,1,411,,100.0,1.0,0.0,411:5
synth fuel 00187,2,2,411,,50.0,0.5,0.5,411:1;4427:1
synth misc 00404,33,5,6022,,57.58,0.5758,0.4242,6022:19;6022:5;6022:5;608:2;612:2
synth raw material 00707,1,1,613,,100.0,1.0,0.0,613:1
synth office 01168,1,1,4426,,100.0,1.0,0.0,4426:1
synth service 00595,4,1,411,,100.0,1.0,0.0,411:4
synth misc 00509,1,1,612,,100.0,1.0,0.0,612:1
synth retail 00391,1,1,628,,100.0,1.0,0.0,628:1
synth maintenance 00770,1,1,6022,,100.0,1.0,0.0,6022:1
synth office 00028,1,1,612,,100.0,1.0,0.0,612:1
synth transport 00918,1,1,601,,100.0,1.0,0.0,601:1
synth service 00742,9,1,6022,,100.0,1.0,0.0,6022:9
synth office 00479,5,1,608,,100.0,1.0,0.0,608:5
synth transport 00031,7,1,401,,100.0,1.0,0.0,401:7
synth utility 00794,11,1,371,,100.0,1.0,0.0,371:11
synth retail 00525,5,1,605,,100.0,1.0,0.0,605:5
synth maintenance 00414,5,1,608,,100.0,1.0,0.0,608:5
synth service 00237,3,2,411,,66.67,0.6667,0.3333,411:2;701:1
synth raw material 00463,7,4,609,,57.14,0.5714,0.4286,609:4;602:1;602:1;602:1
synth retail 00538,7,2,602,,85.71,0.8571,0.1429,602:6;401:1
synth service 01071,1,1,704,,100.0,1.0,0.0,704:1
synth packaging 00500,1,1,707,,100.0,1.0,0.0,707:1
synth utility 00748,4,2,609,,75.0,0.75,0.25,609:3;609:1
synth utility 01023,5,1,701,,100.0,1.0,0.0,701:5
synth utility 01195,2,1,701,,100.0,1.0,0.0,701:2
synth service 00713,1,1,625,,100.0,1.0,0.0,625:1
synth retail 00337,1,1,625,,100.0,1.0,0.0,625:1
synth packaging 00746,1,1,371,,100.0,1.0,0.0,371:1
synth maintenance 00098,1,1,4426,,100.0,1.0,0.0,4426:1
synth raw material 00307,1,1,704,,100.0,1.0,0.0,704:1
synth utility 00843,7,1,6022,,100.0,1.0,0.0,6022:7
synth maintenance 01181,6,1,622,,100.0,1.0,0.0,622:6
synth service 00005,10,1,4426,,100.0,1.0,0.0,4426:10
synth utility 01074,2,1,4427,,100.0,1.0,0.0,4427:2
synth fuel 01077,2,1,704,,100.0,1.0,0.0,704:2
synth maintenance 00699,6,1,622,,100.0,1.0,0.0,622:6
synth packaging 00554,18,6,609,,33.33,0.3333,0.6667,609:6;613:4;613:3;371:2;613:2;613:1
synth packaging 00134,2,1,601,,100.0,1.0,0.0,601:2
synth utility 00982,6,1,635,,100.0,1.0,0.0,635:6
synth service 00753,42,4,628,,42.86,0.4286,0.5714,628:18;602:11;628:9;613:4
synth transport 00130,1,1,411,,100.0,1.0,0.0,411:1
synth misc 01190,2,1,707,,100.0,1.0,0.0,707:2
synth raw material 01055,2,1,707,,100.0,1.0,0.0,707:2
synth maintenance 00741,4,2,605,,50.0,0.5,0.5,605:2;371:2
synth retail 01030,43,7,6022,,27.91,0.2791,0.7209,6022:12;6022:9;607:9;6022:6;6022:4;6022:2;6022:1
synth packaging 00625,2,1,622,,100.0,1.0,0.0,622:2
synth raw material 00019,1,1,704,,100.0,1.0,0.0,704:1
synth service 00017,5,1,635,,100.0,1.0,0.0,635:5
synth fuel 00849,1,1,605,,100.0,1.0,0.0,605:1
synth packaging 01165,1,1,6022,,100.0,1.0,0.0,6022:1
synth service 01133,2,1,625,,100.0,1.0,0.0,625:2
synth office 00073,86,5,605,,29.07,0.2907,0.7093,605:25;625:21;371:18;608:12;371:10
synth transport 00659,7,1,602,,100.0,1.0,0.0,602:7
synth maintenance 01180,6,2,401,,83.33,0.8333,0.1667,401:5;601:1
synth misc 00533,2,1,4426,,100.0,1.0,0.0,4426:2
synth service 00945,14,1,704,,100.0,1.0,0.0,704:14
synth transport 00498,4,1,635,,100.0,1.0,0.0,635:4
synth misc 00889,4,1,411,,100.0,1.0,0.0,411:4
synth misc 01186,1,1,371,,100.0,1.0,0.0,371:1
synth packaging 00636,35,5,4427,,54.29,0.5429,0.4571,4427:19;701:10;701:3;701:2;701:1
synth service 00288,3,1,4427,,100.0,1.0,0.0,4427:3
synth office 00251,7,1,704,,100.0,1.0,0.0,704:7
synth maintenance 00185,1,1,628,,100.0,1.0,0.0,628:1
synth maintenance 00074,15,1,4427,,100.0,1.0,0.0,4427:15
synth utility 00930,2,1,707,,100.0,1.0,0.0,707:2
synth raw material 00638,3,1,635,,100.0,1.0,0.0,635:3
synth raw material 00032,4,1,608,,100.0,1.0,0.0,608:4
synth misc 00725,4,1,635,,100.0,1.0,0.0,635:4
synth packaging 00146,2,1,602,,100.0,1.0,0.0,602:2
synth packaging 01047,12,3,601,,50.0,0.5,0.5,601:6;601:3;605:3
synth retail 01147,3,1,605,,100.0,1.0,0.0,605:3
synth retail 00022,9,1,607,,100.0,1.0,0.0,607:9
synth transport 00386,3,1,612,,100.0,1.0,0.0,612:3
synth office 00612,6,1,635,,100.0,1.0,0.0,635:6
synth retail 00392,11,1,4426,,100.0,1.0,0.0,4426:11
synth utility 00739,2,1,609,,100.0,1.0,0.0,609:2
synth maintenance 01171,12,5,612,,41.67,0.4167,0.5833,612:5;628:4;612:1;609:1;612:1
synth utility 00758,2,1,401,,100.0,1.0,0.0,401:2
synth fuel 00705,8,1,411,,100.0,1.0,0.0,411:8
synth office 00847,8,1,4427,,100.0,1.0,0.0,4427:8
synth misc 00246,4,1,602,,100.0,1.0,0.0,602:4
synth maintenance 01075,1,1,625,,100.0,1.0,0.0,625:1
synth transport 00644,4,1,607,,100.0,1.0,0.0,607:4
synth maintenance 00737,20,9,411,,35.0,0.35,0.65,411:7;411:4;704:2;701:2;704:1;411:1;701:1;701:1;707:1
synth fuel 00133,1,1,704,,100.0,1.0,0.0,704:1
synth misc 00633,2,1,625,,100.0,1.0,0.0,625:2
synth retail 00731,1,1,625,,100.0,1.0,0.0,625:1
synth transport 00056,2,1,401,,100.0,1.0,0.0,401:2
synth retail 00350,1,1,612,,100.0,1.0,0.0,612:1
synth utility 00777,29,2,609,,93.1,0.931,0.069,609:27;628:2
synth office 00772,1,1,612,,100.0,1.0,0.0,612:1
synth transport 00710,6,1,4426,,100.0,1.0,0.0,4426:6
synth utility 00551,23,4,601,,52.17,0.5217,0.4783,601:12;628:4;628:4;628:3
synth misc 00412,2,1,622,,100.0,1.0,0.0,622:2
synth office 00896,3,1,613,,100.0,1.0,0.0,613:3
synth transport 01122,1,1,704,,100.0,1.0,0.0,704:1
synth transport 00799,20,1,4427,,100.0,1.0,0.0,4427:20
synth office 00622,14,1,4427,,100.0,1.0,0.0,4427:14
synth retail 00314,13,1,704,,100.0,1.0,0.0,704:13
synth raw material 00165,5,1,411,,100.0,1.0,0.0,411:5
synth maintenance 01157,31,1,613,,100.0,1.0,0.0,613:31
synth utility 00852,27,1,609,,100.0,1.0,0.0,609:27
synth maintenance 00810,19,1,622,,100.0,1.0,0.0,622:19
synth retail 00874,7,2,704,,71.43,0.7143,0.2857,704:5;411:2
synth packaging 00973,11,1,6022,,100.0,1.0,0.0,6022:11
synth transport 00598,10,1,628,,100.0,1.0,0.0,628:10
synth packaging 00517,7,1,6022,,100.0,1.0,0.0,6022:7
synth packaging 00948,13,2,371,,92.31,0.9231,0.0769,371:12;612:1
synth packaging 00886,1,1,625,,100.0,1.0,0.0,625:1
synth office 00535,12,1,625,,100.0,1.0,0.0,625:12
synth fuel 00591,4,1,613,,100.0,1.0,0.0,613:4
synth packaging 00855,4,1,601,,100.0,1.0,0.0,601:4
synth raw material 00183,6,1,609,,100.0,1.0,0.0,609:6
synth fuel 00118,3,1,401,,100.0,1.0,0.0,401:3
synth office 00317,1,1,602,,100.0,1.0,0.0,602:1
synth packaging 00384,1,1,622,,100.0,1.0,0.0,622:1
synth raw material 00157,8,1,411,,100.0,1.0,0.0,411:8
synth fuel 01127,2,1,704,,100.0,1.0,0.0,704:2
synth misc 00891,1,1,701,,100.0,1.0,0.0,701:1
synth retail 00490,1,1,704,,100.0,1.0,0.0,704:1
synth raw material 00607,1,1,625,,100.0,1.0,0.0,625:1
synth maintenance 01200,2,1,411,,100.0,1.0,0.0,411:2
synth office 00037,6,1,701,,100.0,1.0,0.0,701:6
synth utility 00815,6,2,628,,50.0,0.5,0.5,628:3;4426:3
synth fuel 00623,3,1,601,,100.0,1.0,0.0,601:3
synth raw material 00851,4,1,607,,100.0,1.0,0.0,607:4
synth fuel 00397,7,1,635,,100.0,1.0,0.0,635:7
synth utility 01197,19,2,4426,,89.47,0.8947,0.1053,4426:17;4426:2
synth utility 01116,7,1,628,,100.0,1.0,0.0,628:7
synth utility 00846,17,5,371,,41.18,0.4118,0.5882,371:7;625:4;371:4;371:1;371:1
synth retail 00182,7,1,401,,100.0,1.0,0.0,401:7
synth office 00320,25,3,601,,48.0,0.48,0.52,601:12;601:8;601:5
synth maintenance 00966,1,1,612,,100.0,1.0,0.0,612:1
synth raw material 00864,2,1,707,,100.0,1.0,0.0,707:2
synth maintenance 00075,1,1,4426,,100.0,1.0,0.0,4426:1
synth retail 00694,1,1,704,,100.0,1.0,0.0,704:1
synth raw material 00114,1,1,371,,100.0,1.0,0.0,371:1
synth office 00560,7,1,605,,100.0,1.0,0.0,605:7
synth transport 00603,5,1,6022,,100.0,1.0,0.0,6022:5
synth office 00702,9,1,635,,100.0,1.0,0.0,635:9
synth raw material 00198,3,1,401,,100.0,1.0,0.0,401:3
synth maintenance 00107,12,1,601,,100.0,1.0,0.0,601:12
synth fuel 00091,2,1,612,,100.0,1.0,0.0,612:2
synth raw material 00174,2,1,613,,100.0,1.0,0.0,613:2
synth service 01003,3,1,608,,100.0,1.0,0.0,608:3
synth packaging 00809,4,1,625,,100.0,1.0,0.0,625:4
synth service 00206,2,1,635,,100.0,1.0,0.0,635:2
synth maintenance 00215,3,1,707,,100.0,1.0,0.0,707:3
synth transport 01161,3,1,635,,100.0,1.0,0.0,635:3
synth retail 00885,5,1,4427,,100.0,1.0,0.0,4427:5
