logical_key,cui,company_name,reporting_period,source_file,sha256,schema_version,invoice_number,invoice_date,invoice_type,direction,line_number,product_code,product_description,normalized_product,quantity,unit_of_measure,unit_price,line_amount,vat_percent,tax_code,tax_type,tax_amount,account_id,account_description,account_type,warehouse_id,warehouse_exists,validation_status
9900001_30-11-2025,9900001,SYNTH COMPANY 001 SRL,30-11-2025,SYNTH_9900001_30-11-2025_Inf.xml,5773daedcfe8e8677e07f5366bb226388c0d294ce75201936d9a9da9c4fecbb0,2.0,SYN9900001-000003,2025-11-04,380,SALE,1,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,72.155,KG,491.98,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-11-2025,9900001,SYNTH COMPANY 001 SRL,30-11-2025,SYNTH_9900001_30-11-2025_Inf.xml,5773daedcfe8e8677e07f5366bb226388c0d294ce75201936d9a9da9c4fecbb0,2.0,SYN9900001-000003,2025-11-04,380,SALE,2,00000239,SYNTH SERVICE 00239,synth service 00239,121.808,,3.47,,0.00,300239,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-11-2025,9900001,SYNTH COMPANY 001 SRL,30-11-2025,SYNTH_9900001_30-11-2025_Inf.xml,5773daedcfe8e8677e07f5366bb226388c0d294ce75201936d9a9da9c4fecbb0,2.0,SYN9900001-000003,2025-11-04,380,SALE,3,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,149.922,,431.55,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-06-2026,9900001,SYNTH COMPANY 001 SRL,30-06-2026,SYNTH_9900001_30-06-2026_Inf.xml,e68202cb8eccba07e60d06bb91958d939621fc992726f366a39c4f1185fc300b,2.0,SYN9900001-000004,2026-06-25,380,SALE,1,00000787,SYNTH SERVICE 00787,synth service 00787,303.235,BUC,254.19,,11.00,311787,300,,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,,False,VALID
9900001_30-06-2026,9900001,SYNTH COMPANY 001 SRL,30-06-2026,SYNTH_9900001_30-06-2026_Inf.xml,e68202cb8eccba07e60d06bb91958d939621fc992726f366a39c4f1185fc300b,2.0,SYN9900001-000004,2026-06-25,380,SALE,2,00000239,SYNTH SERVICE 00239,synth service 00239,145.385,,91.71,,19.00,319239,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-06-2026,9900001,SYNTH COMPANY 001 SRL,30-06-2026,SYNTH_9900001_30-06-2026_Inf.xml,e68202cb8eccba07e60d06bb91958d939621fc992726f366a39c4f1185fc300b,2.0,SYN9900001-000004,2026-06-25,380,SALE,3,00000995,SYNTH PACKAGING 00995,synth packaging 00995,403.855,,378.35,,21.00,321995,300,,704,VEN. DIN SERVICII PRESTATE,Pasiv,,False,VALID
9900001_30-06-2026,9900001,SYNTH COMPANY 001 SRL,30-06-2026,SYNTH_9900001_30-06-2026_Inf.xml,e68202cb8eccba07e60d06bb91958d939621fc992726f366a39c4f1185fc300b,2.0,SYN9900001-000004,2026-06-25,380,SALE,4,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,383.548,,404.23,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-06-2026,9900001,SYNTH COMPANY 001 SRL,30-06-2026,SYNTH_9900001_30-06-2026_Inf.xml,e68202cb8eccba07e60d06bb91958d939621fc992726f366a39c4f1185fc300b,2.0,SYN9900001-000004,2026-06-25,380,SALE,5,00001069,SYNTH MAINTENANCE 01069,synth maintenance 01069,321.233,,373.26,,11.00,311069,300,,4427,TVA COLECTATA,Pasiv,,False,VALID
9900001_30-06-2026,9900001,SYNTH COMPANY 001 SRL,30-06-2026,SYNTH_9900001_30-06-2026_Inf.xml,e68202cb8eccba07e60d06bb91958d939621fc992726f366a39c4f1185fc300b,2.0,SYN9900001-000004,2026-06-25,380,SALE,6,00000239,SYNTH SERVICE 00239,synth service 00239,45.738,,148.48,,19.00,319239,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-06-2025,9900001,SYNTH COMPANY 001 SRL,30-06-2025,SYNTH_9900001_30-06-2025_Inf.xml,153b654802ad171940daeca34ce6ae1f8a6b40b28e0025416a5a3bae776152e5,2.0,SYN9900001-000005,2025-06-10,380,PURCHASE,1,00000587,SYNTH UTILITY 00587,synth utility 00587,443.782,,309.77,,11.00,311587,300,,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,,False,VALID
9900001_30-06-2025,9900001,SYNTH COMPANY 001 SRL,30-06-2025,SYNTH_9900001_30-06-2025_Inf.xml,153b654802ad171940daeca34ce6ae1f8a6b40b28e0025416a5a3bae776152e5,2.0,SYN9900001-000005,2025-06-10,380,PURCHASE,2,00000284,SYNTH OFFICE 00284,synth office 00284,95.997,KG,419.75,,19.00,319284,300,,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,,False,VALID
9900001_30-06-2025,9900001,SYNTH COMPANY 001 SRL,30-06-2025,SYNTH_9900001_30-06-2025_Inf.xml,153b654802ad171940daeca34ce6ae1f8a6b40b28e0025416a5a3bae776152e5,2.0,SYN9900001-000005,2025-06-10,380,PURCHASE,3,00000027,SYNTH RAW MATERIAL 00027,synth raw material 00027,388.358,,202.70,,11.00,311027,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,2454df9e3785f1795a78118d1acc7813e79ea8ac7fdb9b1d5a461d2b31ee9581,2.0,SYN9900001-000006,2024-07-27,380,PURCHASE,1,00000587,SYNTH UTILITY 00587,synth utility 00587,382.132,BUC,321.33,,11.00,311587,300,,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,2454df9e3785f1795a78118d1acc7813e79ea8ac7fdb9b1d5a461d2b31ee9581,2.0,SYN9900001-000006,2024-07-27,380,PURCHASE,2,00001194,SYNTH PACKAGING 01194,synth packaging 01194,497.351,KG,260.48,,19.00,319194,300,,4426,TVA DEDUCTIBILA,Activ,,False,VALID
9900001_30-04-2026,9900001,SYNTH COMPANY 001 SRL,30-04-2026,SYNTH_9900001_30-04-2026_Inf.xml,8fbb3ed7aa427cd66c65972cdf63b9eb291a5c7dfc5c1b5010a7d2ae0f232427,2.0,SYN9900001-000007,2026-04-18,380,PURCHASE,1,00001041,SYNTH RAW MATERIAL 01041,synth raw material 01041,9.732,L,414.18,,5.00,305041,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_30-04-2026,9900001,SYNTH COMPANY 001 SRL,30-04-2026,SYNTH_9900001_30-04-2026_Inf.xml,8fbb3ed7aa427cd66c65972cdf63b9eb291a5c7dfc5c1b5010a7d2ae0f232427,2.0,SYN9900001-000007,2026-04-18,380,PURCHASE,2,00000587,SYNTH UTILITY 00587,synth utility 00587,72.086,,305.39,,11.00,311587,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_30-04-2026,9900001,SYNTH COMPANY 001 SRL,30-04-2026,SYNTH_9900001_30-04-2026_Inf.xml,8fbb3ed7aa427cd66c65972cdf63b9eb291a5c7dfc5c1b5010a7d2ae0f232427,2.0,SYN9900001-000007,2026-04-18,380,PURCHASE,3,00001041,SYNTH RAW MATERIAL 01041,synth raw material 01041,74.474,,381.79,,5.00,305041,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,6d86f60c5ebdb9566c7b7104ca2e44bbda95a6c6e307e7c0397e4733aff6d878,2.0,SYN9900001-000008,2024-10-29,380,PURCHASE,1,00000027,SYNTH RAW MATERIAL 00027,synth raw material 00027,37.329,KG,8.45,,11.00,311027,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,6d86f60c5ebdb9566c7b7104ca2e44bbda95a6c6e307e7c0397e4733aff6d878,2.0,SYN9900001-000008,2024-10-29,380,PURCHASE,2,00000587,SYNTH UTILITY 00587,synth utility 00587,343.150,KG,383.48,,11.00,311587,300,,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,,False,VALID
9900001_30-04-2025,9900001,SYNTH COMPANY 001 SRL,30-04-2025,SYNTH_9900001_30-04-2025_Inf.xml,07e8a814704245683c4ac71d801c8147fbe47d8752f3c9e8f3c7d65a2c6b163b,2.0,SYN9900001-000009,2025-04-18,380,SALE,1,00001130,SYNTH RETAIL 01130,synth retail 01130,121.060,L,425.03,,5.00,305130,300,,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,,False,VALID
9900001_30-04-2025,9900001,SYNTH COMPANY 001 SRL,30-04-2025,SYNTH_9900001_30-04-2025_Inf.xml,07e8a814704245683c4ac71d801c8147fbe47d8752f3c9e8f3c7d65a2c6b163b,2.0,SYN9900001-000009,2025-04-18,380,SALE,2,00001069,SYNTH MAINTENANCE 01069,synth maintenance 01069,416.432,KG,239.73,,11.00,311069,300,,4427,TVA COLECTATA,Pasiv,,False,VALID
9900001_30-04-2025,9900001,SYNTH COMPANY 001 SRL,30-04-2025,SYNTH_9900001_30-04-2025_Inf.xml,07e8a814704245683c4ac71d801c8147fbe47d8752f3c9e8f3c7d65a2c6b163b,2.0,SYN9900001-000009,2025-04-18,380,SALE,3,00000995,SYNTH PACKAGING 00995,synth packaging 00995,426.252,,300.60,,,300995,300,,704,VEN. DIN SERVICII PRESTATE,Pasiv,,False,VALID
9900001_31-07-2025,9900001,SYNTH COMPANY 001 SRL,31-07-2025,SYNTH_9900001_31-07-2025_Inf.xml,cf1796824a106e13faf81bcef18429ef49bf33e04436e70bee5887040fbf4fc2,2.0,SYN9900001-000010,2025-07-04,380,SALE,1,00000239,SYNTH SERVICE 00239,synth service 00239,38.453,KG,407.34,,19.00,319239,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-06-2024,9900001,SYNTH COMPANY 001 SRL,30-06-2024,SYNTH_9900001_30-06-2024_Inf.xml,e11353ae41a10384883bb36b6d02695dd11d66ce107ef6cb25554303a6ca768f,2.0,SYN9900001-000011,2024-06-27,380,PURCHASE,1,00000004,SYNTH PACKAGING 00004,synth packaging 00004,147.224,,37.51,,0.00,300004,300,,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,f89e3aa3f183a1534419f53af3e9fb16fe8024c6dc2b770c8b6ef850f3223cd2,2.0,SYN9900001-000012,2024-07-26,380,PURCHASE,1,00000587,SYNTH UTILITY 00587,synth utility 00587,313.862,BUC,365.26,,19.00,319587,300,,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,f89e3aa3f183a1534419f53af3e9fb16fe8024c6dc2b770c8b6ef850f3223cd2,2.0,SYN9900001-000012,2024-07-26,380,PURCHASE,2,00001016,SYNTH UTILITY 01016,synth utility 01016,248.139,,299.82,,19.00,319016,300,,605,CHELT. CU ENERGIA SI APA,Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,1cf476e1aa477c621a4821cffc886c13ca76b5d469018d409d16b8b18e792a7d,2.0,SYN9900001-000013,2024-07-30,380,PURCHASE,1,00000054,SYNTH MISC 00054,synth misc 00054,278.177,BUC,373.19,,0.00,300054,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,1cf476e1aa477c621a4821cffc886c13ca76b5d469018d409d16b8b18e792a7d,2.0,SYN9900001-000013,2024-07-30,380,PURCHASE,2,00000027,SYNTH RAW MATERIAL 00027,synth raw material 00027,192.852,BUC,491.01,,11.00,311027,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,1cf476e1aa477c621a4821cffc886c13ca76b5d469018d409d16b8b18e792a7d,2.0,SYN9900001-000013,2024-07-30,380,PURCHASE,3,00000054,SYNTH MISC 00054,synth misc 00054,389.092,BUC,199.24,,0.00,300054,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,1cf476e1aa477c621a4821cffc886c13ca76b5d469018d409d16b8b18e792a7d,2.0,SYN9900001-000013,2024-07-30,380,PURCHASE,4,00001016,SYNTH UTILITY 01016,synth utility 01016,98.439,KG,227.48,,19.00,319016,300,,605,CHELT. CU ENERGIA SI APA,Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,1,00000027,SYNTH RAW MATERIAL 00027,synth raw material 00027,424.923,KG,339.34,,,300027,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,2,00000587,SYNTH UTILITY 00587,synth utility 00587,110.217,,119.75,,11.00,311587,300,,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,3,00000027,SYNTH RAW MATERIAL 00027,synth raw material 00027,248.378,,488.24,,11.00,311027,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,4,00000054,SYNTH MISC 00054,synth misc 00054,445.809,,149.07,,0.00,300054,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,5,00001085,SYNTH OFFICE 01085,synth office 01085,162.188,KG,432.20,,21.00,321085,300,,4426,TVA DEDUCTIBILA,Activ,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,6,00000009,SYNTH TRANSPORT 00009,synth transport 00009,216.149,L,497.47,,5.00,305009,300,,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,,False,VALID
9900001_31-10-2024,9900001,SYNTH COMPANY 001 SRL,31-10-2024,SYNTH_9900001_31-10-2024_Inf.xml,5abd6fe2ba03135cb9ac71bbce38f4ce7756a97fbe5ef10831448b86fbfe1452,2.0,SYN9900001-000014,2024-10-14,380,PURCHASE,7,00000284,SYNTH OFFICE 00284,synth office 00284,51.706,,267.56,,19.00,319284,300,,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,,False,VALID
9900001_30-09-2025,9900001,SYNTH COMPANY 001 SRL,30-09-2025,SYNTH_9900001_30-09-2025_Inf.xml,c424838e4baa12af85f2c609a96c389ec641e3dfaf694f14e1c784e1ca022dd6,2.0,SYN9900001-000015,2025-09-18,380,SALE,1,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,447.239,,268.59,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-09-2025,9900001,SYNTH COMPANY 001 SRL,30-09-2025,SYNTH_9900001_30-09-2025_Inf.xml,c424838e4baa12af85f2c609a96c389ec641e3dfaf694f14e1c784e1ca022dd6,2.0,SYN9900001-000015,2025-09-18,380,SALE,2,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,465.362,,86.64,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-09-2025,9900001,SYNTH COMPANY 001 SRL,30-09-2025,SYNTH_9900001_30-09-2025_Inf.xml,c424838e4baa12af85f2c609a96c389ec641e3dfaf694f14e1c784e1ca022dd6,2.0,SYN9900001-000015,2025-09-18,380,SALE,3,00001130,SYNTH RETAIL 01130,synth retail 01130,365.883,,219.53,,5.00,305130,300,,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,,False,VALID
9900001_30-09-2025,9900001,SYNTH COMPANY 001 SRL,30-09-2025,SYNTH_9900001_30-09-2025_Inf.xml,c424838e4baa12af85f2c609a96c389ec641e3dfaf694f14e1c784e1ca022dd6,2.0,SYN9900001-000015,2025-09-18,380,SALE,4,00000239,SYNTH SERVICE 00239,synth service 00239,411.450,KG,438.44,,19.00,319239,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_30-11-2024,9900001,SYNTH COMPANY 001 SRL,30-11-2024,SYNTH_9900001_30-11-2024_Inf.xml,9b6494e21e187e2102c491fe322b7508259fa7226b57cc789af23e96c58a55f1,2.0,SYN9900001-000016,2024-11-29,380,SALE,1,00001130,SYNTH RETAIL 01130,synth retail 01130,369.654,,393.02,,5.00,305130,300,,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,,False,VALID
9900001_30-11-2024,9900001,SYNTH COMPANY 001 SRL,30-11-2024,SYNTH_9900001_30-11-2024_Inf.xml,9b6494e21e187e2102c491fe322b7508259fa7226b57cc789af23e96c58a55f1,2.0,SYN9900001-000016,2024-11-29,380,SALE,2,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,340.692,BUC,227.33,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_31-07-2025,9900001,SYNTH COMPANY 001 SRL,31-07-2025,SYNTH_9900001_31-07-2025_Inf.xml,7b39ac8d0b09312f934263a5cfef695bec0bc1524cfdb44d1c00462db5878167,2.0,SYN9900001-000017,2025-07-18,380,PURCHASE,1,00000135,SYNTH UTILITY 00135,synth utility 00135,72.671,KG,91.04,,9.00,309135,300,,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,,False,VALID
9900001_31-07-2025,9900001,SYNTH COMPANY 001 SRL,31-07-2025,SYNTH_9900001_31-07-2025_Inf.xml,7b39ac8d0b09312f934263a5cfef695bec0bc1524cfdb44d1c00462db5878167,2.0,SYN9900001-000017,2025-07-18,380,PURCHASE,2,00001041,SYNTH RAW MATERIAL 01041,synth raw material 01041,496.083,L,8.40,,5.00,305041,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_31-07-2025,9900001,SYNTH COMPANY 001 SRL,31-07-2025,SYNTH_9900001_31-07-2025_Inf.xml,7b39ac8d0b09312f934263a5cfef695bec0bc1524cfdb44d1c00462db5878167,2.0,SYN9900001-000017,2025-07-18,380,PURCHASE,3,00000135,SYNTH UTILITY 00135,synth utility 00135,343.687,,285.15,,9.00,309135,300,,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,,False,VALID
9900001_31-07-2025,9900001,SYNTH COMPANY 001 SRL,31-07-2025,SYNTH_9900001_31-07-2025_Inf.xml,7b39ac8d0b09312f934263a5cfef695bec0bc1524cfdb44d1c00462db5878167,2.0,SYN9900001-000017,2025-07-18,380,PURCHASE,4,00000911,SYNTH RETAIL 00911,synth retail 00911,87.933,,70.23,,0.00,300911,300,,371,MARFURI,Activ,,False,VALID
9900001_31-07-2025,9900001,SYNTH COMPANY 001 SRL,31-07-2025,SYNTH_9900001_31-07-2025_Inf.xml,7b39ac8d0b09312f934263a5cfef695bec0bc1524cfdb44d1c00462db5878167,2.0,SYN9900001-000017,2025-07-18,380,PURCHASE,5,00001016,SYNTH UTILITY 01016,synth utility 01016,477.491,,295.73,,19.00,319016,300,,605,CHELT. CU ENERGIA SI APA,Cheltuieli,,False,VALID
9900001_31-03-2025,9900001,SYNTH COMPANY 001 SRL,31-03-2025,SYNTH_9900001_31-03-2025_Inf.xml,923fc0526f73f051eb2418f07d6ae85f9952edaad7517d60ae665645662d6765,2.0,SYN9900001-000018,2025-03-02,380,SALE,1,00001045,SYNTH RAW MATERIAL 01045,synth raw material 01045,476.590,KG,446.20,,19.00,319045,300,,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,,False,VALID
9900001_31-05-2025,9900001,SYNTH COMPANY 001 SRL,31-05-2025,SYNTH_9900001_31-05-2025_Inf.xml,c6ea1752dd7210156477a29581d1e254425a28ebab2603694d9015a35395e708,2.0,SYN9900001-000019,2025-05-05,380,PURCHASE,1,00001085,SYNTH OFFICE 01085,synth office 01085,126.135,L,324.54,,11.00,311085,300,,4426,TVA DEDUCTIBILA,Activ,,False,VALID
9900001_31-05-2025,9900001,SYNTH COMPANY 001 SRL,31-05-2025,SYNTH_9900001_31-05-2025_Inf.xml,c6ea1752dd7210156477a29581d1e254425a28ebab2603694d9015a35395e708,2.0,SYN9900001-000019,2025-05-05,380,PURCHASE,2,00000587,SYNTH UTILITY 00587,synth utility 00587,305.255,,315.13,,11.00,311587,300,,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,,False,VALID
