Company,Product,Normalized Product,AccountID,AccountDescription,AccountType,Count,First Seen,Last Seen
SYNTH COMPANY 002 SRL,SYNTH OFFICE 00959,synth office 00959,411,CLIENTI,Activ,4,2024-09-27,2025-10-30
SYNTH COMPANY 002 SRL,SYNTH UTILITY 00946,synth utility 00946,4427,TVA COLECTATA,Pasiv,3,2024-09-27,2025-10-05
SYNTH COMPANY 002 SRL,SYNTH MISC 01118,synth misc 01118,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,2,2025-03-03,2025-10-05
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00381,synth service 00381,601,CHELT. CU MATERIILE PRIME,Cheltuieli,3,2025-05-12,2026-01-27
SYNTH COMPANY 002 SRL,SYNTH RETAIL 00484,synth retail 00484,401,FURNIZORI,Pasiv,4,2024-07-16,2026-06-18
SYNTH COMPANY 002 SRL,SYNTH RETAIL 00136,synth retail 00136,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,4,2024-07-02,2026-06-18
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00101,synth service 00101,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,5,2025-01-29,2026-06-25
SYNTH COMPANY 002 SRL,SYNTH FUEL 00750,synth fuel 00750,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,2,2024-07-11,2025-11-20
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00201,synth service 00201,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,2,2025-05-12,2026-01-27
SYNTH COMPANY 002 SRL,SYNTH MISC 01042,synth misc 01042,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,1,2025-08-13,2025-08-13
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00101,synth service 00101,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,3,2025-01-29,2026-06-25
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00480,synth service 00480,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,2,2024-09-27,2024-09-27
SYNTH COMPANY 002 SRL,SYNTH MAINTENANCE 01121,synth maintenance 01121,601,CHELT. CU MATERIILE PRIME,Cheltuieli,2,2025-06-11,2026-07-01
SYNTH COMPANY 002 SRL,SYNTH OFFICE 00977,synth office 00977,622,CHELT. CU COMISIOANELE SI ONORARIILE,Cheltuieli,3,2025-06-11,2026-07-01
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00101,synth service 00101,607,CHELT. PRIVIND MARFURILE,Cheltuieli,18,2024-07-02,2026-07-01
SYNTH COMPANY 002 SRL,SYNTH PACKAGING 00196,synth packaging 00196,401,FURNIZORI,Pasiv,2,2025-02-02,2026-03-18
SYNTH COMPANY 002 SRL,SYNTH OFFICE 00499,synth office 00499,4427,TVA COLECTATA,Pasiv,1,2025-11-14,2025-11-14
SYNTH COMPANY 002 SRL,SYNTH RETAIL 00629,synth retail 00629,622,CHELT. CU COMISIOANELE SI ONORARIILE,Cheltuieli,2,2024-07-16,2025-06-13
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00927,synth office 00927,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,11,2024-08-20,2026-01-17
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00282,synth office 00282,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,21,2024-07-21,2026-05-28
SYNTH COMPANY 003 SRL,SYNTH RETAIL 00493,synth retail 00493,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,300,2024-06-13,2026-06-25
SYNTH COMPANY 003 SRL,SYNTH RETAIL 00070,synth retail 00070,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,45,2024-08-08,2026-05-15
SYNTH COMPANY 003 SRL,SYNTH PACKAGING 00094,synth packaging 00094,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,43,2024-06-02,2026-05-20
SYNTH COMPANY 003 SRL,SYNTH UTILITY 01083,synth utility 01083,704,VEN. DIN SERVICII PRESTATE,Pasiv,192,2024-06-10,2026-06-19
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00841,synth office 00841,411,CLIENTI,Activ,32,2024-06-10,2026-06-19
SYNTH COMPANY 003 SRL,SYNTH RETAIL 00932,synth retail 00932,607,CHELT. PRIVIND MARFURILE,Cheltuieli,63,2024-06-02,2026-06-25
SYNTH COMPANY 003 SRL,SYNTH SERVICE 00253,synth service 00253,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,69,2024-06-09,2026-05-16
SYNTH COMPANY 003 SRL,SYNTH PACKAGING 00299,synth packaging 00299,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,12,2024-06-22,2026-03-25
SYNTH COMPANY 003 SRL,SYNTH UTILITY 00833,synth utility 00833,4427,TVA COLECTATA,Pasiv,8,2024-06-20,2026-05-22
SYNTH COMPANY 003 SRL,SYNTH RAW MATERIAL 00601,synth raw material 00601,4427,TVA COLECTATA,Pasiv,19,2024-06-18,2026-06-19
SYNTH COMPANY 003 SRL,SYNTH MISC 01191,synth misc 01191,607,CHELT. PRIVIND MARFURILE,Cheltuieli,17,2024-09-04,2026-05-16
SYNTH COMPANY 003 SRL,SYNTH UTILITY 00914,synth utility 00914,635,"CHELT. CU ALTE IMPOZITE, TAXE",Cheltuieli,28,2024-06-09,2026-05-16
SYNTH COMPANY 003 SRL,SYNTH TRANSPORT 00872,synth transport 00872,607,CHELT. PRIVIND MARFURILE,Cheltuieli,25,2024-08-17,2026-06-25
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00928,synth office 00928,601,CHELT. CU MATERIILE PRIME,Cheltuieli,45,2024-06-02,2026-06-28
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00581,synth office 00581,605,CHELT. CU ENERGIA SI APA,Cheltuieli,18,2024-06-17,2026-03-21
SYNTH COMPANY 003 SRL,SYNTH RETAIL 01128,synth retail 01128,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,5,2024-10-20,2026-04-30
SYNTH COMPANY 003 SRL,SYNTH RAW MATERIAL 01015,synth raw material 01015,704,VEN. DIN SERVICII PRESTATE,Pasiv,16,2024-06-18,2026-05-22
SYNTH COMPANY 003 SRL,SYNTH PACKAGING 00546,synth packaging 00546,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,6,2024-12-23,2026-02-10
SYNTH COMPANY 003 SRL,SYNTH MISC 00131,synth misc 00131,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,7,2024-06-04,2026-06-28
SYNTH COMPANY 003 SRL,SYNTH MAINTENANCE 00664,synth maintenance 00664,605,CHELT. CU ENERGIA SI APA,Cheltuieli,5,2024-07-20,2026-05-19
SYNTH COMPANY 003 SRL,SYNTH UTILITY 00833,synth utility 00833,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,2,2025-11-30,2026-02-09
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00226,synth office 00226,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,2,2024-11-11,2026-02-16
SYNTH COMPANY 003 SRL,SYNTH RETAIL 01178,synth retail 01178,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,5,2024-12-05,2026-02-02
SYNTH COMPANY 003 SRL,SYNTH MISC 00822,synth misc 00822,635,"CHELT. CU ALTE IMPOZITE, TAXE",Cheltuieli,7,2024-11-02,2026-04-10
SYNTH COMPANY 003 SRL,SYNTH RETAIL 00971,synth retail 00971,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,4,2025-02-04,2026-05-13
SYNTH COMPANY 003 SRL,SYNTH PACKAGING 00546,synth packaging 00546,4427,TVA COLECTATA,Pasiv,3,2025-12-29,2026-01-27
SYNTH COMPANY 003 SRL,SYNTH OFFICE 00499,synth office 00499,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,4,2024-09-09,2025-06-12
SYNTH COMPANY 003 SRL,SYNTH SERVICE 00389,synth service 00389,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,9,2024-08-08,2026-03-26
SYNTH COMPANY 003 SRL,SYNTH PACKAGING 00546,synth packaging 00546,411,CLIENTI,Activ,3,2025-03-26,2025-09-29
SYNTH COMPANY 004 SRL,SYNTH TRANSPORT 00232,synth transport 00232,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,6,2025-01-19,2026-03-15
SYNTH COMPANY 004 SRL,SYNTH RAW MATERIAL 00027,synth raw material 00027,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,12,2024-12-02,2026-06-09
SYNTH COMPANY 004 SRL,SYNTH MAINTENANCE 00939,synth maintenance 00939,605,CHELT. CU ENERGIA SI APA,Cheltuieli,1,2026-02-08,2026-02-08
SYNTH COMPANY 004 SRL,SYNTH MAINTENANCE 01121,synth maintenance 01121,601,CHELT. CU MATERIILE PRIME,Cheltuieli,4,2025-05-04,2026-02-08
SYNTH COMPANY 004 SRL,SYNTH RETAIL 00615,synth retail 00615,401,FURNIZORI,Pasiv,1,2024-07-15,2024-07-15
SYNTH COMPANY 004 SRL,SYNTH FUEL 00907,synth fuel 00907,411,CLIENTI,Activ,1,2025-05-24,2025-05-24
SYNTH COMPANY 004 SRL,SYNTH UTILITY 00473,synth utility 00473,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,6,2024-08-05,2026-03-03
SYNTH COMPANY 004 SRL,SYNTH UTILITY 00159,synth utility 00159,4426,TVA DEDUCTIBILA,Activ,3,2025-01-19,2025-12-08
SYNTH COMPANY 004 SRL,SYNTH PACKAGING 00421,synth packaging 00421,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,4,2025-01-19,2026-03-29
SYNTH COMPANY 004 SRL,SYNTH RAW MATERIAL 00854,synth raw material 00854,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,8,2025-01-28,2026-05-07
SYNTH COMPANY 004 SRL,SYNTH SERVICE 00192,synth service 00192,622,CHELT. CU COMISIOANELE SI ONORARIILE,Cheltuieli,2,2025-12-08,2026-06-07
SYNTH COMPANY 004 SRL,SYNTH TRANSPORT 00193,synth transport 00193,601,CHELT. CU MATERIILE PRIME,Cheltuieli,2,2025-12-08,2026-02-11
SYNTH COMPANY 004 SRL,SYNTH SERVICE 00497,synth service 00497,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,2,2026-02-08,2026-02-11
SYNTH COMPANY 004 SRL,SYNTH SERVICE 00818,synth service 00818,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,1,2026-02-08,2026-02-08
SYNTH COMPANY 004 SRL,SYNTH FUEL 00333,synth fuel 00333,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,3,2025-01-19,2026-06-07
SYNTH COMPANY 004 SRL,SYNTH PACKAGING 00173,synth packaging 00173,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,2,2025-01-19,2025-08-08
SYNTH COMPANY 004 SRL,SYNTH MAINTENANCE 00806,synth maintenance 00806,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,2,2025-01-19,2026-06-07
SYNTH COMPANY 004 SRL,SYNTH MISC 00778,synth misc 00778,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,1,2025-01-19,2025-01-19
SYNTH COMPANY 004 SRL,SYNTH RAW MATERIAL 00405,synth raw material 00405,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,1,2024-08-05,2024-08-05
SYNTH COMPANY 004 SRL,SYNTH TRANSPORT 00231,synth transport 00231,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,1,2024-08-05,2024-08-05
SYNTH COMPANY 004 SRL,SYNTH SERVICE 00055,synth service 00055,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,1,2024-08-05,2024-08-05
SYNTH COMPANY 004 SRL,SYNTH SERVICE 00736,synth service 00736,605,CHELT. CU ENERGIA SI APA,Cheltuieli,1,2025-12-26,2025-12-26
SYNTH COMPANY 004 SRL,SYNTH MISC 01081,synth misc 01081,635,"CHELT. CU ALTE IMPOZITE, TAXE",Cheltuieli,1,2025-12-26,2025-12-26
SYNTH COMPANY 004 SRL,SYNTH OFFICE 00225,synth office 00225,622,CHELT. CU COMISIOANELE SI ONORARIILE,Cheltuieli,1,2026-06-07,2026-06-07
SYNTH COMPANY 005 SRL,SYNTH OFFICE 00654,synth office 00654,401,FURNIZORI,Pasiv,5,2024-10-06,2026-04-21
SYNTH COMPANY 005 SRL,SYNTH UTILITY 00749,synth utility 00749,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,10,2024-09-30,2026-06-26
SYNTH COMPANY 005 SRL,SYNTH RETAIL 00164,synth retail 00164,411,CLIENTI,Activ,25,2024-06-24,2026-03-24
SYNTH COMPANY 005 SRL,SYNTH SERVICE 00055,synth service 00055,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,4,2024-06-24,2025-06-17
SYNTH COMPANY 005 SRL,SYNTH SERVICE 00332,synth service 00332,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,6,2024-10-17,2026-04-21
SYNTH COMPANY 005 SRL,SYNTH OFFICE 00635,synth office 00635,601,CHELT. CU MATERIILE PRIME,Cheltuieli,27,2024-06-01,2026-06-26
SYNTH COMPANY 005 SRL,SYNTH UTILITY 00657,synth utility 00657,4427,TVA COLECTATA,Pasiv,1,2025-07-03,2025-07-03
SYNTH COMPANY 005 SRL,SYNTH PACKAGING 00658,synth packaging 00658,704,VEN. DIN SERVICII PRESTATE,Pasiv,7,2024-06-24,2026-02-27
SYNTH COMPANY 005 SRL,SYNTH UTILITY 00878,synth utility 00878,635,"CHELT. CU ALTE IMPOZITE, TAXE",Cheltuieli,2,2026-03-14,2026-03-19
SYNTH COMPANY 005 SRL,SYNTH RAW MATERIAL 00761,synth raw material 00761,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,2,2025-03-15,2025-06-22
SYNTH COMPANY 005 SRL,SYNTH SERVICE 00211,synth service 00211,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,4,2024-06-01,2026-04-13
SYNTH COMPANY 005 SRL,SYNTH SERVICE 00332,synth service 00332,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,4,2024-07-24,2026-02-25
SYNTH COMPANY 005 SRL,SYNTH OFFICE 01155,synth office 01155,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,7,2024-07-24,2026-04-21
SYNTH COMPANY 005 SRL,SYNTH RAW MATERIAL 00935,synth raw material 00935,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,14,2024-07-25,2026-03-24
SYNTH COMPANY 005 SRL,SYNTH MAINTENANCE 01110,synth maintenance 01110,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,5,2024-07-16,2026-05-24
SYNTH COMPANY 005 SRL,SYNTH OFFICE 01087,synth office 01087,4426,TVA DEDUCTIBILA,Activ,1,2025-04-26,2025-04-26
SYNTH COMPANY 005 SRL,SYNTH FUEL 00950,synth fuel 00950,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,1,2025-04-18,2025-04-18
SYNTH COMPANY 005 SRL,SYNTH TRANSPORT 00366,synth transport 00366,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,6,2024-10-06,2026-04-21
SYNTH COMPANY 005 SRL,SYNTH OFFICE 01087,synth office 01087,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,4,2024-10-06,2026-03-14
SYNTH COMPANY 005 SRL,SYNTH MISC 00425,synth misc 00425,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,2,2024-08-12,2025-01-06
SYNTH COMPANY 005 SRL,SYNTH MISC 00042,synth misc 00042,607,CHELT. PRIVIND MARFURILE,Cheltuieli,1,2024-12-14,2024-12-14
SYNTH COMPANY 005 SRL,SYNTH UTILITY 00878,synth utility 00878,371,MARFURI,Activ,2,2024-06-01,2025-03-15
SYNTH COMPANY 005 SRL,SYNTH MISC 01191,synth misc 01191,401,FURNIZORI,Pasiv,4,2024-07-16,2026-05-24
SYNTH COMPANY 005 SRL,SYNTH UTILITY 00878,synth utility 00878,4426,TVA DEDUCTIBILA,Activ,5,2025-02-12,2025-12-02
SYNTH COMPANY 005 SRL,SYNTH RAW MATERIAL 00338,synth raw material 00338,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,2,2026-03-01,2026-05-22
SYNTH COMPANY 005 SRL,SYNTH MISC 00840,synth misc 00840,622,CHELT. CU COMISIOANELE SI ONORARIILE,Cheltuieli,1,2025-09-04,2025-09-04
SYNTH COMPANY 005 SRL,SYNTH TRANSPORT 00590,synth transport 00590,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,1,2025-12-02,2025-12-02
SYNTH COMPANY 005 SRL,SYNTH MISC 00042,synth misc 00042,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,1,2026-02-04,2026-02-04
SYNTH COMPANY 006 SRL,SYNTH TRANSPORT 00565,synth transport 00565,411,CLIENTI,Activ,10,2024-08-18,2025-12-29
SYNTH COMPANY 006 SRL,SYNTH FUEL 00402,synth fuel 00402,601,CHELT. CU MATERIILE PRIME,Cheltuieli,3,2024-07-20,2025-09-09
SYNTH COMPANY 006 SRL,SYNTH OFFICE 00271,synth office 00271,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,6,2024-07-20,2026-05-27
SYNTH COMPANY 006 SRL,SYNTH MISC 00579,synth misc 00579,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,9,2024-07-04,2026-04-29
SYNTH COMPANY 006 SRL,SYNTH TRANSPORT 00334,synth transport 00334,635,"CHELT. CU ALTE IMPOZITE, TAXE",Cheltuieli,2,2025-05-21,2026-04-10
SYNTH COMPANY 006 SRL,SYNTH RETAIL 00944,synth retail 00944,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,11,2024-10-23,2026-05-27
SYNTH COMPANY 006 SRL,SYNTH MAINTENANCE 00867,synth maintenance 00867,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,1,2025-07-10,2025-07-10
SYNTH COMPANY 006 SRL,SYNTH PACKAGING 00858,synth packaging 00858,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,10,2025-06-12,2026-04-12
SYNTH COMPANY 006 SRL,SYNTH TRANSPORT 01062,synth transport 01062,411,CLIENTI,Activ,3,2025-10-25,2025-12-29
SYNTH COMPANY 006 SRL,SYNTH MISC 00393,synth misc 00393,601,CHELT. CU MATERIILE PRIME,Cheltuieli,11,2024-10-26,2026-05-27
SYNTH COMPANY 006 SRL,SYNTH OFFICE 00374,synth office 00374,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,2,2024-10-27,2026-04-10
SYNTH COMPANY 006 SRL,SYNTH TRANSPORT 00495,synth transport 00495,371,MARFURI,Activ,2,2024-10-23,2025-03-10
SYNTH COMPANY 006 SRL,SYNTH MISC 01191,synth misc 01191,607,CHELT. PRIVIND MARFURILE,Cheltuieli,4,2024-07-04,2026-05-27
SYNTH COMPANY 006 SRL,SYNTH FUEL 00756,synth fuel 00756,401,FURNIZORI,Pasiv,3,2025-03-18,2026-04-20
SYNTH COMPANY 006 SRL,SYNTH FUEL 00047,synth fuel 00047,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,5,2024-07-29,2025-07-07
SYNTH COMPANY 006 SRL,SYNTH FUEL 00762,synth fuel 00762,622,CHELT. CU COMISIOANELE SI ONORARIILE,Cheltuieli,2,2025-06-28,2025-08-30
SYNTH COMPANY 006 SRL,SYNTH RAW MATERIAL 00365,synth raw material 00365,605,CHELT. CU ENERGIA SI APA,Cheltuieli,3,2024-07-29,2026-05-08
SYNTH COMPANY 006 SRL,SYNTH MAINTENANCE 00605,synth maintenance 00605,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,6,2025-07-16,2026-05-08
SYNTH COMPANY 006 SRL,SYNTH UTILITY 00227,synth utility 00227,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,4,2024-07-29,2025-12-31
SYNTH COMPANY 006 SRL,SYNTH FUEL 00985,synth fuel 00985,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,1,2025-04-21,2025-04-21
SYNTH COMPANY 006 SRL,SYNTH RAW MATERIAL 00265,synth raw material 00265,607,CHELT. PRIVIND MARFURILE,Cheltuieli,3,2025-07-02,2026-05-27
SYNTH COMPANY 006 SRL,SYNTH PACKAGING 00129,synth packaging 00129,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,3,2024-07-29,2026-05-08
SYNTH COMPANY 006 SRL,SYNTH FUEL 00968,synth fuel 00968,613,CHELT. CU PRIMELE DE ASIGURARE,Cheltuieli,1,2024-07-29,2024-07-29
SYNTH COMPANY 006 SRL,SYNTH FUEL 00481,synth fuel 00481,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,2,2025-07-26,2025-10-25
SYNTH COMPANY 006 SRL,SYNTH MAINTENANCE 00545,synth maintenance 00545,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,1,2025-07-25,2025-07-25
SYNTH COMPANY 006 SRL,SYNTH RAW MATERIAL 01103,synth raw material 01103,602,CHELT. CU MATERIALELE CONSUMABILE,Cheltuieli,1,2026-05-27,2026-05-27
SYNTH COMPANY 007 SRL,SYNTH MAINTENANCE 00594,synth maintenance 00594,601,CHELT. CU MATERIILE PRIME,Cheltuieli,3,2024-07-23,2025-04-11
SYNTH COMPANY 007 SRL,SYNTH PACKAGING 01049,synth packaging 01049,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,1,2024-12-24,2024-12-24
SYNTH COMPANY 007 SRL,SYNTH FUEL 00732,synth fuel 00732,605,CHELT. CU ENERGIA SI APA,Cheltuieli,2,2024-06-11,2025-03-12
SYNTH COMPANY 007 SRL,SYNTH SERVICE 00980,synth service 00980,605,CHELT. CU ENERGIA SI APA,Cheltuieli,7,2024-06-04,2026-05-27
SYNTH COMPANY 007 SRL,SYNTH UTILITY 00398,synth utility 00398,605,CHELT. CU ENERGIA SI APA,Cheltuieli,10,2024-06-04,2026-06-10
SYNTH COMPANY 007 SRL,SYNTH RAW MATERIAL 00494,synth raw material 00494,601,CHELT. CU MATERIILE PRIME,Cheltuieli,8,2024-06-04,2025-11-02
SYNTH COMPANY 007 SRL,SYNTH OFFICE 00604,synth office 00604,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,1,2024-06-04,2024-06-04
SYNTH COMPANY 007 SRL,SYNTH OFFICE 00581,synth office 00581,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,3,2024-08-11,2025-03-02
SYNTH COMPANY 007 SRL,SYNTH RAW MATERIAL 00216,synth raw material 00216,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,12,2024-08-26,2026-05-27
SYNTH COMPANY 007 SRL,SYNTH TRANSPORT 01057,synth transport 01057,601,CHELT. CU MATERIILE PRIME,Cheltuieli,5,2024-06-30,2025-10-11
SYNTH COMPANY 007 SRL,SYNTH FUEL 01033,synth fuel 01033,371,MARFURI,Activ,1,2024-08-26,2024-08-26
