cui,company_name,product,direction,account_id,account_description,tax_code,ads,evidence_count
9900002,SYNTH COMPANY 002 SRL,synth service 00101,PURCHASE,607,CHELT. PRIVIND MARFURILE,309101,0.6207,29
9900002,SYNTH COMPANY 002 SRL,synth fuel 00441,PURCHASE,605,CHELT. CU ENERGIA SI APA,300441,1.0000,6
9900002,SYNTH COMPANY 002 SRL,synth fuel 00792,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,321792,1.0000,6
9900002,SYNTH COMPANY 002 SRL,synth office 00959,SALE,411,CLIENTI,305959,1.0000,4
9900002,SYNTH COMPANY 002 SRL,synth utility 00946,SALE,4427,TVA COLECTATA,309946,1.0000,3
9900002,SYNTH COMPANY 002 SRL,synth misc 01118,SALE,701,VEN. DIN VANZAREA PROD. FINITE,305118,1.0000,2
9900002,SYNTH COMPANY 002 SRL,synth service 00381,PURCHASE,601,CHELT. CU MATERIILE PRIME,319381,1.0000,3
9900002,SYNTH COMPANY 002 SRL,synth retail 00484,PURCHASE,401,FURNIZORI,305484,1.0000,4
9900002,SYNTH COMPANY 002 SRL,synth retail 00136,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,311136,1.0000,4
9900002,SYNTH COMPANY 002 SRL,synth fuel 00750,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,319750,1.0000,2
9900002,SYNTH COMPANY 002 SRL,synth service 00201,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,321201,1.0000,2
9900002,SYNTH COMPANY 002 SRL,synth misc 01042,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,309042,1.0000,1
9900002,SYNTH COMPANY 002 SRL,synth service 00480,SALE,701,VEN. DIN VANZAREA PROD. FINITE,309480,1.0000,2
9900002,SYNTH COMPANY 002 SRL,synth maintenance 01121,PURCHASE,601,CHELT. CU MATERIILE PRIME,319121,1.0000,2
9900002,SYNTH COMPANY 002 SRL,synth office 00977,PURCHASE,622,CHELT. CU COMISIOANELE SI ONORARIILE,300977,1.0000,3
9900002,SYNTH COMPANY 002 SRL,synth packaging 00196,PURCHASE,401,FURNIZORI,311196,1.0000,2
9900002,SYNTH COMPANY 002 SRL,synth office 00499,SALE,4427,TVA COLECTATA,311499,1.0000,1
9900002,SYNTH COMPANY 002 SRL,synth retail 00629,PURCHASE,622,CHELT. CU COMISIOANELE SI ONORARIILE,319629,1.0000,2
9900003,SYNTH COMPANY 003 SRL,synth office 00927,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",305927,1.0000,11
9900003,SYNTH COMPANY 003 SRL,synth office 00282,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",305282,1.0000,21
9900003,SYNTH COMPANY 003 SRL,synth retail 00493,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,311493,1.0000,300
9900003,SYNTH COMPANY 003 SRL,synth retail 00070,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,321070,1.0000,45
9900003,SYNTH COMPANY 003 SRL,synth packaging 00094,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,309094,1.0000,43
9900003,SYNTH COMPANY 003 SRL,synth utility 01083,SALE,704,VEN. DIN SERVICII PRESTATE,309083,1.0000,192
9900003,SYNTH COMPANY 003 SRL,synth office 00841,SALE,411,CLIENTI,319841,1.0000,32
9900003,SYNTH COMPANY 003 SRL,synth retail 00932,PURCHASE,607,CHELT. PRIVIND MARFURILE,305932,1.0000,63
9900003,SYNTH COMPANY 003 SRL,synth service 00253,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,305253,1.0000,69
9900003,SYNTH COMPANY 003 SRL,synth packaging 00299,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,311299,1.0000,12
9900003,SYNTH COMPANY 003 SRL,synth utility 00833,SALE,4427,TVA COLECTATA,300833,0.8000,10
9900003,SYNTH COMPANY 003 SRL,synth raw material 00601,SALE,4427,TVA COLECTATA,305601,1.0000,19
9900003,SYNTH COMPANY 003 SRL,synth misc 01191,PURCHASE,607,CHELT. PRIVIND MARFURILE,309191,1.0000,17
9900003,SYNTH COMPANY 003 SRL,synth utility 00914,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",311914,1.0000,28
9900003,SYNTH COMPANY 003 SRL,synth transport 00872,PURCHASE,607,CHELT. PRIVIND MARFURILE,311872,1.0000,25
9900003,SYNTH COMPANY 003 SRL,synth office 00928,PURCHASE,601,CHELT. CU MATERIILE PRIME,311928,1.0000,45
9900003,SYNTH COMPANY 003 SRL,synth office 00581,PURCHASE,605,CHELT. CU ENERGIA SI APA,311581,1.0000,18
9900003,SYNTH COMPANY 003 SRL,synth retail 01128,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,311128,1.0000,5
9900003,SYNTH COMPANY 003 SRL,synth raw material 01015,SALE,704,VEN. DIN SERVICII PRESTATE,321015,1.0000,16
9900003,SYNTH COMPANY 003 SRL,synth packaging 00546,SALE,707,VEN. DIN VANZAREA MARFURILOR,300546,0.5000,12
9900003,SYNTH COMPANY 003 SRL,synth misc 00131,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,321131,1.0000,7
9900003,SYNTH COMPANY 003 SRL,synth maintenance 00664,PURCHASE,605,CHELT. CU ENERGIA SI APA,321664,1.0000,5
9900003,SYNTH COMPANY 003 SRL,synth office 00226,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,300226,1.0000,2
9900003,SYNTH COMPANY 003 SRL,synth retail 01178,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,309178,1.0000,5
9900003,SYNTH COMPANY 003 SRL,synth misc 00822,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",311822,1.0000,7
9900003,SYNTH COMPANY 003 SRL,synth retail 00971,SALE,701,VEN. DIN VANZAREA PROD. FINITE,321971,1.0000,4
9900003,SYNTH COMPANY 003 SRL,synth office 00499,SALE,707,VEN. DIN VANZAREA MARFURILOR,311499,1.0000,4
9900003,SYNTH COMPANY 003 SRL,synth service 00389,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,300389,1.0000,9
9900004,SYNTH COMPANY 004 SRL,synth transport 00232,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",300232,1.0000,6
9900004,SYNTH COMPANY 004 SRL,synth raw material 00027,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",311027,1.0000,12
9900004,SYNTH COMPANY 004 SRL,synth maintenance 00939,PURCHASE,605,CHELT. CU ENERGIA SI APA,311939,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth maintenance 01121,PURCHASE,601,CHELT. CU MATERIILE PRIME,319121,1.0000,4
9900004,SYNTH COMPANY 004 SRL,synth retail 00615,PURCHASE,401,FURNIZORI,309615,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth fuel 00907,SALE,411,CLIENTI,309907,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth utility 00473,SALE,707,VEN. DIN VANZAREA MARFURILOR,319473,1.0000,6
9900004,SYNTH COMPANY 004 SRL,synth utility 00159,PURCHASE,4426,TVA DEDUCTIBILA,321159,1.0000,3
9900004,SYNTH COMPANY 004 SRL,synth packaging 00421,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,309421,1.0000,4
9900004,SYNTH COMPANY 004 SRL,synth raw material 00854,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,309854,1.0000,8
9900004,SYNTH COMPANY 004 SRL,synth service 00192,PURCHASE,622,CHELT. CU COMISIOANELE SI ONORARIILE,300192,1.0000,2
9900004,SYNTH COMPANY 004 SRL,synth transport 00193,PURCHASE,601,CHELT. CU MATERIILE PRIME,300193,1.0000,2
9900004,SYNTH COMPANY 004 SRL,synth service 00497,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,309497,1.0000,2
9900004,SYNTH COMPANY 004 SRL,synth service 00818,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,300818,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth fuel 00333,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,319333,1.0000,3
9900004,SYNTH COMPANY 004 SRL,synth packaging 00173,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",300173,1.0000,2
9900004,SYNTH COMPANY 004 SRL,synth maintenance 00806,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,309806,1.0000,2
9900004,SYNTH COMPANY 004 SRL,synth misc 00778,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,321778,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth raw material 00405,SALE,707,VEN. DIN VANZAREA MARFURILOR,321405,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth transport 00231,SALE,707,VEN. DIN VANZAREA MARFURILOR,305231,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth service 00055,SALE,707,VEN. DIN VANZAREA MARFURILOR,300055,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth service 00736,PURCHASE,605,CHELT. CU ENERGIA SI APA,319736,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth misc 01081,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",300081,1.0000,1
9900004,SYNTH COMPANY 004 SRL,synth office 00225,PURCHASE,622,CHELT. CU COMISIOANELE SI ONORARIILE,300225,1.0000,1
9900005,SYNTH COMPANY 005 SRL,synth office 00654,PURCHASE,401,FURNIZORI,309654,1.0000,5
9900005,SYNTH COMPANY 005 SRL,synth utility 00749,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,300749,1.0000,10
9900005,SYNTH COMPANY 005 SRL,synth retail 00164,SALE,411,CLIENTI,321164,1.0000,25
9900005,SYNTH COMPANY 005 SRL,synth service 00055,SALE,707,VEN. DIN VANZAREA MARFURILOR,300055,1.0000,4
9900005,SYNTH COMPANY 005 SRL,synth service 00332,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,300332,0.6000,10
9900005,SYNTH COMPANY 005 SRL,synth office 00635,PURCHASE,601,CHELT. CU MATERIILE PRIME,321635,1.0000,27
9900005,SYNTH COMPANY 005 SRL,synth utility 00657,SALE,4427,TVA COLECTATA,305657,1.0000,1
9900005,SYNTH COMPANY 005 SRL,synth packaging 00658,SALE,704,VEN. DIN SERVICII PRESTATE,309658,1.0000,7
9900005,SYNTH COMPANY 005 SRL,synth utility 00878,PURCHASE,4426,TVA DEDUCTIBILA,321878,0.5556,9
9900005,SYNTH COMPANY 005 SRL,synth raw material 00761,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",300761,1.0000,2
9900005,SYNTH COMPANY 005 SRL,synth service 00211,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,309211,1.0000,4
9900005,SYNTH COMPANY 005 SRL,synth office 01155,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",305155,1.0000,7
9900005,SYNTH COMPANY 005 SRL,synth raw material 00935,SALE,707,VEN. DIN VANZAREA MARFURILOR,311935,1.0000,14
9900005,SYNTH COMPANY 005 SRL,synth maintenance 01110,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",309110,1.0000,5
9900005,SYNTH COMPANY 005 SRL,synth office 01087,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",311087,0.8000,5
9900005,SYNTH COMPANY 005 SRL,synth fuel 00950,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,321950,1.0000,1
9900005,SYNTH COMPANY 005 SRL,synth transport 00366,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,309366,1.0000,6
9900005,SYNTH COMPANY 005 SRL,synth misc 00425,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,309425,1.0000,2
9900005,SYNTH COMPANY 005 SRL,synth misc 00042,PURCHASE,607,CHELT. PRIVIND MARFURILE,305042,0.5000,2
9900005,SYNTH COMPANY 005 SRL,synth misc 01191,PURCHASE,401,FURNIZORI,309191,1.0000,4
9900005,SYNTH COMPANY 005 SRL,synth raw material 00338,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,300338,1.0000,2
9900005,SYNTH COMPANY 005 SRL,synth misc 00840,PURCHASE,622,CHELT. CU COMISIOANELE SI ONORARIILE,300840,1.0000,1
9900005,SYNTH COMPANY 005 SRL,synth transport 00590,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",319590,1.0000,1
9900006,SYNTH COMPANY 006 SRL,synth transport 00565,SALE,411,CLIENTI,319565,1.0000,10
9900006,SYNTH COMPANY 006 SRL,synth fuel 00402,PURCHASE,601,CHELT. CU MATERIILE PRIME,305402,1.0000,3
9900006,SYNTH COMPANY 006 SRL,synth office 00271,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",321271,1.0000,6
9900006,SYNTH COMPANY 006 SRL,synth misc 00579,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,311579,1.0000,9
9900006,SYNTH COMPANY 006 SRL,synth transport 00334,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",319334,1.0000,2
9900006,SYNTH COMPANY 006 SRL,synth retail 00944,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,311944,1.0000,11
9900006,SYNTH COMPANY 006 SRL,synth maintenance 00867,SALE,701,VEN. DIN VANZAREA PROD. FINITE,319867,1.0000,1
9900006,SYNTH COMPANY 006 SRL,synth packaging 00858,SALE,701,VEN. DIN VANZAREA PROD. FINITE,319858,1.0000,10
9900006,SYNTH COMPANY 006 SRL,synth transport 01062,SALE,411,CLIENTI,305062,1.0000,3
9900006,SYNTH COMPANY 006 SRL,synth misc 00393,PURCHASE,601,CHELT. CU MATERIILE PRIME,305393,1.0000,11
9900006,SYNTH COMPANY 006 SRL,synth office 00374,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,305374,1.0000,2
9900006,SYNTH COMPANY 006 SRL,synth transport 00495,PURCHASE,371,MARFURI,300495,1.0000,2
9900006,SYNTH COMPANY 006 SRL,synth misc 01191,PURCHASE,607,CHELT. PRIVIND MARFURILE,309191,1.0000,4
9900006,SYNTH COMPANY 006 SRL,synth fuel 00756,PURCHASE,401,FURNIZORI,305756,1.0000,3
9900006,SYNTH COMPANY 006 SRL,synth fuel 00047,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",305047,1.0000,5
9900006,SYNTH COMPANY 006 SRL,synth fuel 00762,PURCHASE,622,CHELT. CU COMISIOANELE SI ONORARIILE,300762,1.0000,2
9900006,SYNTH COMPANY 006 SRL,synth raw material 00365,PURCHASE,605,CHELT. CU ENERGIA SI APA,321365,1.0000,3
9900006,SYNTH COMPANY 006 SRL,synth maintenance 00605,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,309605,1.0000,6
9900006,SYNTH COMPANY 006 SRL,synth utility 00227,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,300227,1.0000,4
9900006,SYNTH COMPANY 006 SRL,synth fuel 00985,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,309985,1.0000,1
9900006,SYNTH COMPANY 006 SRL,synth raw material 00265,PURCHASE,607,CHELT. PRIVIND MARFURILE,300265,1.0000,3
9900006,SYNTH COMPANY 006 SRL,synth packaging 00129,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,319129,1.0000,3
9900006,SYNTH COMPANY 006 SRL,synth fuel 00968,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,300968,1.0000,1
9900006,SYNTH COMPANY 006 SRL,synth fuel 00481,SALE,707,VEN. DIN VANZAREA MARFURILOR,305481,1.0000,2
9900006,SYNTH COMPANY 006 SRL,synth maintenance 00545,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,319545,1.0000,1
9900006,SYNTH COMPANY 006 SRL,synth raw material 01103,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,305103,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth maintenance 00594,PURCHASE,601,CHELT. CU MATERIILE PRIME,321594,1.0000,3
9900007,SYNTH COMPANY 007 SRL,synth packaging 01049,SALE,701,VEN. DIN VANZAREA PROD. FINITE,319049,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth fuel 00732,PURCHASE,605,CHELT. CU ENERGIA SI APA,319732,1.0000,2
9900007,SYNTH COMPANY 007 SRL,synth service 00980,PURCHASE,605,CHELT. CU ENERGIA SI APA,309980,1.0000,7
9900007,SYNTH COMPANY 007 SRL,synth utility 00398,PURCHASE,605,CHELT. CU ENERGIA SI APA,309398,1.0000,10
9900007,SYNTH COMPANY 007 SRL,synth raw material 00494,PURCHASE,601,CHELT. CU MATERIILE PRIME,300494,1.0000,8
9900007,SYNTH COMPANY 007 SRL,synth office 00604,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,321604,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth office 00581,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,311581,1.0000,3
9900007,SYNTH COMPANY 007 SRL,synth raw material 00216,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,300216,1.0000,12
9900007,SYNTH COMPANY 007 SRL,synth transport 01057,PURCHASE,601,CHELT. CU MATERIILE PRIME,305057,1.0000,5
9900007,SYNTH COMPANY 007 SRL,synth fuel 01033,PURCHASE,371,MARFURI,309033,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth office 00014,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",319014,1.0000,7
9900007,SYNTH COMPANY 007 SRL,synth transport 00343,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",305343,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth transport 00064,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",305064,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth maintenance 00049,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,300049,1.0000,3
9900007,SYNTH COMPANY 007 SRL,synth misc 00154,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,305154,1.0000,3
9900007,SYNTH COMPANY 007 SRL,synth utility 00080,SALE,701,VEN. DIN VANZAREA PROD. FINITE,311080,1.0000,4
9900007,SYNTH COMPANY 007 SRL,synth service 00651,SALE,411,CLIENTI,319651,1.0000,2
9900007,SYNTH COMPANY 007 SRL,synth misc 00125,SALE,704,VEN. DIN SERVICII PRESTATE,321125,1.0000,3
9900007,SYNTH COMPANY 007 SRL,synth packaging 00194,SALE,4427,TVA COLECTATA,305194,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth retail 00021,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,311021,1.0000,1
9900007,SYNTH COMPANY 007 SRL,synth utility 00190,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",300190,1.0000,1
9900008,SYNTH COMPANY 008 SRL,synth misc 00643,SALE,704,VEN. DIN SERVICII PRESTATE,300643,1.0000,31
9900008,SYNTH COMPANY 008 SRL,synth maintenance 00597,SALE,4427,TVA COLECTATA,309597,1.0000,3
9900008,SYNTH COMPANY 008 SRL,synth service 00239,SALE,707,VEN. DIN VANZAREA MARFURILOR,319239,1.0000,10
9900008,SYNTH COMPANY 008 SRL,synth misc 00346,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,319346,1.0000,3
9900008,SYNTH COMPANY 008 SRL,synth misc 00269,SALE,704,VEN. DIN SERVICII PRESTATE,311269,1.0000,7
9900008,SYNTH COMPANY 008 SRL,synth transport 00457,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,319457,1.0000,31
9900008,SYNTH COMPANY 008 SRL,synth misc 00393,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",305393,1.0000,15
9900008,SYNTH COMPANY 008 SRL,synth packaging 00369,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,309369,1.0000,16
9900008,SYNTH COMPANY 008 SRL,synth transport 00740,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,309740,1.0000,4
9900008,SYNTH COMPANY 008 SRL,synth packaging 00970,SALE,704,VEN. DIN SERVICII PRESTATE,305970,1.0000,13
9900008,SYNTH COMPANY 008 SRL,synth raw material 00286,SALE,411,CLIENTI,311286,1.0000,3
9900008,SYNTH COMPANY 008 SRL,synth misc 00953,SALE,707,VEN. DIN VANZAREA MARFURILOR,319953,1.0000,3
9900008,SYNTH COMPANY 008 SRL,synth office 00616,PURCHASE,605,CHELT. CU ENERGIA SI APA,319616,1.0000,14
9900008,SYNTH COMPANY 008 SRL,synth maintenance 00472,PURCHASE,401,FURNIZORI,309472,1.0000,1
9900008,SYNTH COMPANY 008 SRL,synth raw material 01010,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,309010,1.0000,13
9900008,SYNTH COMPANY 008 SRL,synth raw material 00596,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,311596,0.5000,2
9900008,SYNTH COMPANY 008 SRL,synth utility 01016,PURCHASE,605,CHELT. CU ENERGIA SI APA,319016,1.0000,9
9900008,SYNTH COMPANY 008 SRL,synth maintenance 01184,SALE,4427,TVA COLECTATA,305184,1.0000,5
9900008,SYNTH COMPANY 008 SRL,synth retail 00715,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,321715,1.0000,4
9900008,SYNTH COMPANY 008 SRL,synth fuel 00033,SALE,4427,TVA COLECTATA,311033,1.0000,1
9900008,SYNTH COMPANY 008 SRL,synth transport 01132,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",311132,1.0000,2
9900008,SYNTH COMPANY 008 SRL,synth utility 00352,PURCHASE,601,CHELT. CU MATERIILE PRIME,311352,1.0000,2
9900008,SYNTH COMPANY 008 SRL,synth packaging 00784,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,309784,1.0000,4
9900008,SYNTH COMPANY 008 SRL,synth maintenance 00545,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,319545,1.0000,1
9900008,SYNTH COMPANY 008 SRL,synth misc 00542,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",311542,0.5000,6
9900009,SYNTH COMPANY 009 SRL,synth office 00023,PURCHASE,401,FURNIZORI,305023,1.0000,5
9900009,SYNTH COMPANY 009 SRL,synth service 00389,PURCHASE,613,CHELT. CU PRIMELE DE ASIGURARE,300389,1.0000,2
9900009,SYNTH COMPANY 009 SRL,synth misc 01175,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",311175,1.0000,2
9900009,SYNTH COMPANY 009 SRL,synth transport 00872,PURCHASE,602,CHELT. CU MATERIALELE CONSUMABILE,311872,1.0000,1
9900009,SYNTH COMPANY 009 SRL,synth utility 01016,PURCHASE,605,CHELT. CU ENERGIA SI APA,319016,1.0000,6
9900009,SYNTH COMPANY 009 SRL,synth fuel 00047,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",305047,1.0000,5
9900009,SYNTH COMPANY 009 SRL,synth utility 00655,SALE,411,CLIENTI,321655,1.0000,4
9900009,SYNTH COMPANY 009 SRL,synth utility 00914,PURCHASE,635,"CHELT. CU ALTE IMPOZITE, TAXE",311914,1.0000,3
9900009,SYNTH COMPANY 009 SRL,synth maintenance 01159,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",321159,1.0000,2
9900009,SYNTH COMPANY 009 SRL,synth transport 01080,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",319080,1.0000,3
9900009,SYNTH COMPANY 009 SRL,synth retail 00642,PURCHASE,4426,TVA DEDUCTIBILA,300642,1.0000,2
9900009,SYNTH COMPANY 009 SRL,synth retail 00327,PURCHASE,605,CHELT. CU ENERGIA SI APA,321327,1.0000,2
9900009,SYNTH COMPANY 009 SRL,synth packaging 00355,SALE,411,CLIENTI,321355,1.0000,3
9900009,SYNTH COMPANY 009 SRL,synth raw material 01015,SALE,704,VEN. DIN SERVICII PRESTATE,321015,1.0000,2
9900010,SYNTH COMPANY 010 SRL,synth office 00407,PURCHASE,601,CHELT. CU MATERIILE PRIME,311407,1.0000,216
9900010,SYNTH COMPANY 010 SRL,synth fuel 00895,SALE,411,CLIENTI,305895,1.0000,23
9900010,SYNTH COMPANY 010 SRL,synth retail 00757,SALE,4427,TVA COLECTATA,319757,0.9688,32
9900010,SYNTH COMPANY 010 SRL,synth raw material 00353,SALE,4427,TVA COLECTATA,300353,0.9655,29
9900010,SYNTH COMPANY 010 SRL,synth service 00122,SALE,704,VEN. DIN SERVICII PRESTATE,311122,1.0000,58
