product,direction,dominant_account,global_ads,company_count,distinct_accounts
synth retail 00715,PURCHASE,608,1.0000,1,1
synth fuel 00033,SALE,4427,1.0000,1,1
synth transport 01132,PURCHASE,612,0.8750,4,2
synth utility 00352,PURCHASE,601,1.0000,1,1
synth packaging 00784,PURCHASE,608,1.0000,1,1
synth misc 00542,PURCHASE,635,0.5000,1,2
synth office 00023,PURCHASE,401,1.0000,1,1
synth misc 01175,PURCHASE,635,1.0000,1,1
synth utility 00655,SALE,411,1.0000,1,1
synth maintenance 01159,PURCHASE,612,0.5714,5,3
synth transport 01080,PURCHASE,625,1.0000,1,1
synth retail 00642,PURCHASE,608,0.6000,3,2
synth retail 00327,PURCHASE,605,1.0000,1,1
synth packaging 00355,SALE,411,1.0000,1,1
synth office 00407,PURCHASE,601,0.8710,3,3
synth fuel 00895,SALE,411,1.0000,1,1
synth retail 00757,SALE,4427,0.9688,1,2
synth raw material 00353,SALE,4427,0.9655,1,2
synth service 00122,SALE,704,1.0000,1,1
synth raw material 00069,SALE,411,1.0000,1,1
synth utility 00504,PURCHASE,625,1.0000,1,1
synth misc 00163,PURCHASE,613,1.0000,1,1
synth retail 00132,SALE,411,1.0000,1,1
synth utility 00812,PURCHASE,605,1.0000,1,1
synth service 00804,PURCHASE,401,1.0000,1,1
synth office 01032,PURCHASE,607,1.0000,1,1
synth utility 00800,PURCHASE,6022,1.0000,1,1
synth retail 00620,PURCHASE,635,1.0000,2,1
synth retail 00744,PURCHASE,601,0.8065,6,2
synth fuel 00273,SALE,4427,1.0000,2,1
synth utility 00469,PURCHASE,625,0.4737,6,4
synth utility 00450,PURCHASE,613,1.0000,1,1
synth retail 00447,PURCHASE,609,1.0000,1,1
synth service 00454,SALE,701,0.9259,5,2
synth packaging 00825,SALE,704,1.0000,1,1
synth fuel 00539,PURCHASE,612,1.0000,1,1
synth raw material 00837,PURCHASE,612,1.0000,1,1
synth office 00439,PURCHASE,625,1.0000,1,1
synth office 00561,PURCHASE,6022,1.0000,1,1
synth fuel 00470,PURCHASE,613,0.7500,3,3
synth office 01124,PURCHASE,625,1.0000,1,1
synth raw material 00573,PURCHASE,628,1.0000,1,1
synth raw material 00893,PURCHASE,635,1.0000,1,1
synth misc 00315,PURCHASE,628,1.0000,1,1
synth office 00209,PURCHASE,612,0.5000,2,2
synth maintenance 00656,PURCHASE,609,1.0000,1,1
synth raw material 00829,PURCHASE,371,1.0000,1,1
synth maintenance 00345,PURCHASE,609,1.0000,1,1
synth service 00278,SALE,704,1.0000,2,1
synth packaging 00619,SALE,707,1.0000,1,1
synth misc 00912,SALE,701,1.0000,1,1
synth fuel 00738,PURCHASE,612,1.0000,5,1
synth utility 00537,PURCHASE,612,1.0000,1,1
synth fuel 01158,PURCHASE,612,1.0000,1,1
synth fuel 00844,PURCHASE,608,1.0000,1,1
synth office 00811,PURCHASE,401,1.0000,1,1
synth service 00452,PURCHASE,609,0.3953,5,4
synth transport 00955,PURCHASE,4426,1.0000,1,1
synth utility 00962,PURCHASE,628,0.9368,9,3
synth office 00177,PURCHASE,401,0.7500,2,2
synth raw material 00503,PURCHASE,609,1.0000,1,1
synth misc 00344,PURCHASE,401,1.0000,1,1
synth utility 00785,PURCHASE,612,1.0000,1,1
synth misc 00116,PURCHASE,605,1.0000,1,1
synth fuel 00570,PURCHASE,371,0.6667,1,2
synth raw material 00357,PURCHASE,371,1.0000,1,1
synth office 01029,PURCHASE,601,1.0000,3,1
synth fuel 00952,PURCHASE,605,1.0000,1,1
synth office 00140,PURCHASE,6022,0.6667,1,2
synth raw material 00186,PURCHASE,401,1.0000,1,1
synth office 01013,PURCHASE,608,1.0000,1,1
synth misc 00759,SALE,704,1.0000,1,1
synth misc 00448,PURCHASE,6022,1.0000,1,1
synth packaging 00379,SALE,411,1.0000,1,1
synth fuel 00187,SALE,411,0.5000,1,2
synth misc 00404,PURCHASE,6022,0.8788,5,3
synth raw material 00707,PURCHASE,613,1.0000,1,1
synth office 01168,PURCHASE,4426,1.0000,1,1
synth service 00595,SALE,411,1.0000,1,1
synth misc 00509,PURCHASE,612,1.0000,1,1
synth retail 00391,PURCHASE,628,1.0000,1,1
synth maintenance 00770,PURCHASE,6022,1.0000,1,1
synth office 00028,PURCHASE,612,1.0000,1,1
synth transport 00918,PURCHASE,601,1.0000,1,1
synth service 00742,PURCHASE,6022,1.0000,1,1
synth office 00479,PURCHASE,608,1.0000,1,1
synth transport 00031,PURCHASE,401,1.0000,1,1
synth utility 00794,PURCHASE,371,1.0000,1,1
synth retail 00525,PURCHASE,605,1.0000,1,1
synth maintenance 00414,PURCHASE,608,1.0000,1,1
synth service 00237,SALE,411,0.6667,1,2
synth raw material 00463,PURCHASE,609,0.5714,4,2
synth retail 00538,PURCHASE,602,0.8571,2,2
synth service 01071,SALE,704,1.0000,1,1
synth packaging 00500,SALE,707,1.0000,1,1
synth utility 00748,PURCHASE,609,1.0000,2,1
synth utility 01023,SALE,701,1.0000,1,1
synth utility 01195,SALE,701,1.0000,1,1
synth service 00713,PURCHASE,625,1.0000,1,1
synth retail 00337,PURCHASE,625,1.0000,1,1
synth packaging 00746,PURCHASE,371,1.0000,1,1
synth maintenance 00098,PURCHASE,4426,1.0000,1,1
synth raw material 00307,SALE,704,1.0000,1,1
synth utility 00843,PURCHASE,6022,1.0000,1,1
synth maintenance 01181,PURCHASE,622,1.0000,1,1
synth service 00005,PURCHASE,4426,1.0000,1,1
synth utility 01074,SALE,4427,1.0000,1,1
synth fuel 01077,SALE,704,1.0000,1,1
synth maintenance 00699,PURCHASE,622,1.0000,1,1
synth packaging 00554,PURCHASE,613,0.5556,6,3
synth packaging 00134,PURCHASE,601,1.0000,1,1
synth utility 00982,PURCHASE,635,1.0000,1,1
synth service 00753,PURCHASE,628,0.6429,4,3
synth transport 00130,SALE,411,1.0000,1,1
synth misc 01190,SALE,707,1.0000,1,1
synth raw material 01055,SALE,707,1.0000,1,1
synth maintenance 00741,PURCHASE,605,0.5000,2,2
synth retail 01030,PURCHASE,6022,0.7907,7,2
synth packaging 00625,PURCHASE,622,1.0000,1,1
synth raw material 00019,SALE,704,1.0000,1,1
synth service 00017,PURCHASE,635,1.0000,1,1
synth fuel 00849,PURCHASE,605,1.0000,1,1
synth packaging 01165,PURCHASE,6022,1.0000,1,1
synth service 01133,PURCHASE,625,1.0000,1,1
synth office 00073,PURCHASE,371,0.3256,5,4
synth transport 00659,PURCHASE,602,1.0000,1,1
synth maintenance 01180,PURCHASE,401,0.8333,2,2
synth misc 00533,PURCHASE,4426,1.0000,1,1
synth service 00945,SALE,704,1.0000,1,1
synth transport 00498,PURCHASE,635,1.0000,1,1
synth misc 00889,SALE,411,1.0000,1,1
synth misc 01186,PURCHASE,371,1.0000,1,1
synth packaging 00636,SALE,4427,0.5429,5,2
synth service 00288,SALE,4427,1.0000,1,1
synth office 00251,SALE,704,1.0000,1,1
synth maintenance 00185,PURCHASE,628,1.0000,1,1
synth maintenance 00074,SALE,4427,1.0000,1,1
synth utility 00930,SALE,707,1.0000,1,1
synth raw material 00638,PURCHASE,635,1.0000,1,1
synth raw material 00032,PURCHASE,608,1.0000,1,1
synth misc 00725,PURCHASE,635,1.0000,1,1
synth packaging 00146,PURCHASE,602,1.0000,1,1
synth packaging 01047,PURCHASE,601,0.7500,3,2
synth retail 01147,PURCHASE,605,1.0000,1,1
synth retail 00022,PURCHASE,607,1.0000,1,1
synth transport 00386,PURCHASE,612,1.0000,1,1
synth office 00612,PURCHASE,635,1.0000,1,1
synth retail 00392,PURCHASE,4426,1.0000,1,1
synth utility 00739,PURCHASE,609,1.0000,1,1
synth maintenance 01171,PURCHASE,612,0.5833,5,3
synth utility 00758,PURCHASE,401,1.0000,1,1
synth fuel 00705,SALE,411,1.0000,1,1
synth office 00847,SALE,4427,1.0000,1,1
synth misc 00246,PURCHASE,602,1.0000,1,1
synth maintenance 01075,PURCHASE,625,1.0000,1,1
synth transport 00644,PURCHASE,607,1.0000,1,1
synth maintenance 00737,SALE,411,0.6000,4,4
synth fuel 00133,SALE,704,1.0000,1,1
synth misc 00633,PURCHASE,625,1.0000,1,1
synth retail 00731,PURCHASE,625,1.0000,1,1
synth transport 00056,PURCHASE,401,1.0000,1,1
synth retail 00350,PURCHASE,612,1.0000,1,1
synth utility 00777,PURCHASE,609,0.9310,2,2
synth office 00772,PURCHASE,612,1.0000,1,1
synth transport 00710,PURCHASE,4426,1.0000,1,1
synth utility 00551,PURCHASE,601,0.5217,4,2
synth misc 00412,PURCHASE,622,1.0000,1,1
synth office 00896,PURCHASE,613,1.0000,1,1
synth transport 01122,SALE,704,1.0000,1,1
synth transport 00799,SALE,4427,1.0000,1,1
synth office 00622,SALE,4427,1.0000,1,1
synth retail 00314,SALE,704,1.0000,1,1
synth raw material 00165,SALE,411,1.0000,1,1
synth maintenance 01157,PURCHASE,613,1.0000,1,1
synth utility 00852,PURCHASE,609,1.0000,1,1
synth maintenance 00810,PURCHASE,622,1.0000,1,1
synth retail 00874,SALE,704,0.7143,2,2
synth packaging 00973,PURCHASE,6022,1.0000,1,1
synth transport 00598,PURCHASE,628,1.0000,1,1
synth packaging 00517,PURCHASE,6022,1.0000,1,1
synth packaging 00948,PURCHASE,371,0.9231,1,2
synth packaging 00886,PURCHASE,625,1.0000,1,1
synth office 00535,PURCHASE,625,1.0000,1,1
synth fuel 00591,PURCHASE,613,1.0000,1,1
synth packaging 00855,PURCHASE,601,1.0000,1,1
synth raw material 00183,PURCHASE,609,1.0000,1,1
synth fuel 00118,PURCHASE,401,1.0000,1,1
synth office 00317,PURCHASE,602,1.0000,1,1
synth packaging 00384,PURCHASE,622,1.0000,1,1
synth raw material 00157,SALE,411,1.0000,1,1
synth fuel 01127,SALE,704,1.0000,1,1
synth misc 00891,SALE,701,1.0000,1,1
synth retail 00490,SALE,704,1.0000,1,1
synth raw material 00607,PURCHASE,625,1.0000,1,1
synth maintenance 01200,SALE,411,1.0000,1,1
synth office 00037,SALE,701,1.0000,1,1
synth utility 00815,PURCHASE,628,0.5000,1,2
synth fuel 00623,PURCHASE,601,1.0000,1,1
synth raw material 00851,PURCHASE,607,1.0000,1,1
synth fuel 00397,PURCHASE,635,1.0000,1,1
synth utility 01197,PURCHASE,4426,1.0000,2,1
synth utility 01116,PURCHASE,628,1.0000,1,1
synth utility 00846,PURCHASE,371,0.7647,5,2
synth retail 00182,PURCHASE,401,1.0000,1,1
synth office 00320,PURCHASE,601,1.0000,3,1
synth maintenance 00966,PURCHASE,612,1.0000,1,1
synth raw material 00864,SALE,707,1.0000,1,1
synth maintenance 00075,PURCHASE,4426,1.0000,1,1
synth retail 00694,SALE,704,1.0000,1,1
synth raw material 00114,PURCHASE,371,1.0000,1,1
synth office 00560,PURCHASE,605,1.0000,1,1
synth transport 00603,PURCHASE,6022,1.0000,1,1
synth office 00702,PURCHASE,635,1.0000,1,1
synth raw material 00198,PURCHASE,401,1.0000,1,1
synth maintenance 00107,PURCHASE,601,1.0000,1,1
synth fuel 00091,PURCHASE,612,1.0000,1,1
synth raw material 00174,PURCHASE,613,1.0000,1,1
synth service 01003,PURCHASE,608,1.0000,1,1
synth packaging 00809,PURCHASE,625,1.0000,1,1
synth service 00206,PURCHASE,635,1.0000,1,1
synth maintenance 00215,SALE,707,1.0000,1,1
synth transport 01161,PURCHASE,635,1.0000,1,1
synth retail 00885,SALE,4427,1.0000,1,1
synth maintenance 00158,PURCHASE,601,0.5000,2,2
synth packaging 00790,PURCHASE,401,0.6667,2,2
synth utility 00145,PURCHASE,635,0.5000,1,3
synth utility 00293,PURCHASE,635,1.0000,1,1
synth packaging 00905,PURCHASE,635,1.0000,1,1
synth utility 00423,SALE,701,1.0000,1,1
synth service 00520,PURCHASE,612,1.0000,1,1
synth office 00147,SALE,4427,1.0000,1,1
synth fuel 00564,PURCHASE,608,1.0000,1,1
synth maintenance 01018,SALE,4427,1.0000,1,1
synth fuel 00461,PURCHASE,605,1.0000,1,1
synth maintenance 01084,PURCHASE,607,0.8000,2,2
synth packaging 00781,PURCHASE,622,1.0000,1,1
synth raw material 00721,PURCHASE,602,1.0000,1,1
synth transport 00960,PURCHASE,602,1.0000,1,1
synth utility 00943,PURCHASE,6022,0.9375,3,2
synth utility 00303,SALE,4427,1.0000,1,1
synth service 00233,SALE,704,1.0000,1,1
synth office 00606,PURCHASE,6022,0.5000,2,2
synth office 00296,PURCHASE,605,1.0000,1,1
synth misc 00826,SALE,4427,1.0000,1,1
synth retail 00322,PURCHASE,635,0.6000,3,2
synth transport 00727,PURCHASE,625,1.0000,1,1
synth transport 00508,PURCHASE,401,1.0000,1,1
synth fuel 00908,SALE,4427,0.8750,3,2
synth maintenance 00613,PURCHASE,609,1.0000,1,1
synth misc 00143,PURCHASE,371,1.0000,1,1
synth office 00922,PURCHASE,635,1.0000,1,1
synth retail 00861,PURCHASE,608,1.0000,1,1
synth transport 00832,PURCHASE,601,1.0000,1,1
synth retail 00528,PURCHASE,622,1.0000,1,1
synth packaging 00512,SALE,704,1.0000,1,1
synth maintenance 00323,PURCHASE,612,1.0000,1,1
synth maintenance 00559,PURCHASE,609,1.0000,1,1
synth packaging 00368,PURCHASE,605,1.0000,1,1
synth retail 00138,PURCHASE,601,1.0000,1,1
synth utility 00051,PURCHASE,613,1.0000,1,1
synth fuel 01008,PURCHASE,6022,1.0000,1,1
synth retail 01044,PURCHASE,4426,1.0000,1,1
synth office 01086,SALE,704,1.0000,1,1
synth service 00248,PURCHASE,602,1.0000,1,1
synth service 00180,PURCHASE,612,1.0000,1,1
synth maintenance 00678,SALE,411,1.0000,1,1
synth raw material 00558,SALE,707,1.0000,1,1
synth office 00377,PURCHASE,625,1.0000,1,1
synth misc 00319,PURCHASE,371,1.0000,1,1
synth office 00313,SALE,701,1.0000,1,1
synth retail 00280,SALE,4427,1.0000,2,1
synth misc 00301,PURCHASE,625,1.0000,1,1
synth office 01058,PURCHASE,605,0.8000,5,2
synth packaging 00660,PURCHASE,608,1.0000,1,1
synth service 00913,SALE,4427,1.0000,1,1
synth fuel 00888,SALE,4427,1.0000,1,1
synth office 01019,PURCHASE,625,1.0000,1,1
synth service 00632,PURCHASE,4426,1.0000,1,1
synth retail 00610,SALE,411,1.0000,1,1
synth office 00169,PURCHASE,371,1.0000,1,1
synth packaging 00734,PURCHASE,401,1.0000,1,1
synth utility 00445,PURCHASE,371,1.0000,1,1
synth maintenance 00385,PURCHASE,371,1.0000,1,1
synth transport 00220,PURCHASE,605,1.0000,1,1
synth raw material 00677,PURCHASE,635,1.0000,1,1
synth retail 01000,PURCHASE,601,1.0000,1,1
synth raw material 00321,PURCHASE,625,1.0000,1,1
synth misc 00609,SALE,707,1.0000,1,1
synth transport 00302,SALE,704,1.0000,1,1
synth raw material 01059,SALE,4427,1.0000,1,1
synth transport 00092,SALE,701,1.0000,1,1
synth maintenance 00820,PURCHASE,608,1.0000,1,1
synth office 00796,PURCHASE,628,1.0000,1,1
synth raw material 00618,PURCHASE,613,1.0000,1,1
synth misc 00668,SALE,411,0.5000,1,2
synth utility 01076,PURCHASE,601,1.0000,2,1
synth office 00552,PURCHASE,609,1.0000,1,1
synth packaging 00160,SALE,704,1.0000,1,1
synth maintenance 00360,PURCHASE,607,1.0000,1,1
synth service 00060,PURCHASE,607,1.0000,1,1
synth utility 00801,PURCHASE,612,0.5000,2,2
synth raw material 00513,PURCHASE,635,1.0000,2,1
synth packaging 00254,PURCHASE,612,1.0000,1,1
synth fuel 00007,PURCHASE,613,1.0000,1,1
synth service 00802,PURCHASE,401,1.0000,1,1
synth misc 00816,PURCHASE,601,1.0000,1,1
synth utility 01135,PURCHASE,601,1.0000,1,1
synth packaging 00783,PURCHASE,607,1.0000,1,1
synth raw material 00482,SALE,707,1.0000,1,1
synth maintenance 00276,SALE,411,1.0000,1,1
synth raw material 00767,PURCHASE,635,1.0000,1,1
synth raw material 00349,PURCHASE,635,1.0000,1,1
synth office 00010,SALE,707,1.0000,1,1
synth service 00341,PURCHASE,608,1.0000,1,1
synth misc 00181,PURCHASE,601,1.0000,1,1
synth maintenance 01150,PURCHASE,607,1.0000,1,1
synth service 00268,PURCHASE,601,1.0000,1,1
synth packaging 00648,PURCHASE,6022,1.0000,1,1
synth packaging 00462,PURCHASE,635,1.0000,1,1
synth office 00006,PURCHASE,609,1.0000,1,1
synth service 00137,PURCHASE,628,1.0000,1,1
synth transport 01066,PURCHASE,608,1.0000,1,1
synth transport 00957,PURCHASE,609,1.0000,1,1
synth retail 00692,SALE,707,1.0000,1,1
synth maintenance 00990,PURCHASE,612,1.0000,1,1
synth office 00884,PURCHASE,622,1.0000,1,1
synth utility 00842,SALE,4427,1.0000,1,1
synth office 00356,SALE,707,1.0000,1,1
synth service 00650,SALE,707,1.0000,1,1
synth utility 01053,SALE,411,1.0000,1,1
synth fuel 00722,PURCHASE,635,1.0000,1,1
synth transport 00530,PURCHASE,609,1.0000,1,1
synth packaging 00486,PURCHASE,635,1.0000,1,1
synth transport 00038,PURCHASE,628,1.0000,1,1
synth maintenance 00257,SALE,701,1.0000,3,1
synth utility 00845,PURCHASE,635,1.0000,1,1
synth maintenance 00328,PURCHASE,371,1.0000,1,1
synth office 00467,PURCHASE,628,1.0000,1,1
synth office 00880,PURCHASE,612,1.0000,1,1
synth office 00877,PURCHASE,371,1.0000,1,1
synth packaging 00221,PURCHASE,625,1.0000,1,1
synth office 00617,SALE,701,1.0000,1,1
synth maintenance 00676,PURCHASE,602,1.0000,1,1
synth service 00266,SALE,411,1.0000,1,1
synth transport 01070,PURCHASE,401,1.0000,1,1
synth raw material 00672,PURCHASE,635,1.0000,1,1
synth office 00475,PURCHASE,628,1.0000,1,1
synth maintenance 00686,PURCHASE,625,1.0000,1,1
synth utility 00921,SALE,707,1.0000,1,1
synth fuel 01031,PURCHASE,601,1.0000,1,1
synth retail 00588,PURCHASE,607,1.0000,1,1
synth packaging 00235,PURCHASE,635,0.7500,2,2
synth utility 01193,SALE,4427,1.0000,1,1
synth raw material 00458,SALE,701,1.0000,1,1
synth raw material 00195,SALE,707,1.0000,1,1
synth transport 00754,PURCHASE,601,1.0000,1,1
synth fuel 00330,PURCHASE,601,1.0000,1,1
synth packaging 01146,SALE,701,1.0000,1,1
synth retail 01020,PURCHASE,612,1.0000,1,1
synth transport 00704,PURCHASE,613,1.0000,1,1
synth packaging 00978,PURCHASE,635,1.0000,1,1
synth service 00306,PURCHASE,6022,1.0000,1,1
synth utility 00712,PURCHASE,602,1.0000,1,1
synth packaging 00001,PURCHASE,601,1.0000,1,1
synth office 01054,PURCHASE,601,1.0000,1,1
synth packaging 00044,PURCHASE,6022,1.0000,1,1
synth raw material 00110,PURCHASE,605,0.5714,4,3
synth service 01095,PURCHASE,635,1.0000,1,1
synth service 00653,PURCHASE,401,1.0000,1,1
synth packaging 00986,PURCHASE,601,1.0000,1,1
synth maintenance 01107,SALE,701,1.0000,1,1
synth transport 00149,PURCHASE,609,1.0000,1,1
synth office 00574,PURCHASE,605,1.0000,1,1
synth service 00153,SALE,4427,1.0000,1,1
synth utility 01067,SALE,704,1.0000,1,1
synth transport 00637,PURCHASE,625,1.0000,1,1
synth maintenance 00983,SALE,704,0.8667,4,3
